Code	StockOnHand	Count
"600409"	0	""
"6085728"	0	""
"6081935"	0	""
"6062279"	0	""
"6042752"	0	""
"6010997"	0	""
"6010980"	0	""
"6025137"	371	""
"6060831"	564	""
"6062736"	1206	""
"6065133"	382	""
"6064778"	1014	""
"6077440"	257	""
"6009175"	0	""
"6061548"	2712	""
"600615"	300	""
"6081997"	1382	""
"6079079"	219	""
"6008512"	0	""
"6074043"	14	""
"6008840"	0	""
"6012373"	1	""
"6066048"	0	""
"6071127"	45	""
"600444"	0	""
"6036959"	28	""
"600561"	0	""
"600647"	0	""
"6071110"	15	""
"600758"	0	""
"6065454"	0	""
"600521"	0	""
"600842"	0	""
"6086879"	0	""
"600838"	0	""
"6086855"	0	""
"6086862"	0	""
"6080693"	0	""
"6080709"	0	""
"600516"	0	""
"601000"	0	""
"601113"	0	""
"601480"	0	""
"601501"	0	""
"601685"	0	""
"600626"	0	""
"601696"	12	""
"601885"	15	""
"600655"	0	""
"6003470"	0	""
"600289"	0	""
"6080686"	0	""
"602572"	0	""
"6030018"	16	""
"6002701"	0	""
"6065881"	10	""
"6082857"	18	""
"6046842"	0	""
"600519"	354	""
"6082932"	0	""
"6029692"	47	""
"6050191"	0	""
"600438"	0	""
"600596"	0	""
"600439"	0	""
"6084097"	90	""
"6002251"	74	""
"6070212"	0	""
"6051136"	0	""
"6000981"	162	""
"6070229"	0	""
"6080938"	0	""
"6070236"	0	""
"6002268"	6	""
"6082499"	259	""
"6037260"	0	""
"6082246"	0	""
"600466"	0	""
"600465"	0	""
"600475"	0	""
"6085421"	0	""
"6085407"	0	""
"6085414"	0	""
"6015848"	0	""
"6015664"	0	""
"6015336"	0	""
"6043254"	0	""
"602256"	0	""
"6084318"	37	""
"6063740"	18	""
"6063344"	16	""
"6075118"	0	""
"6002343"	200	""
"6002336"	0	""
"6081447"	0	""
"6081492"	0	""
"6064709"	0	""
"6064679"	0	""
"6064716"	0	""
"6064686"	0	""
"6064693"	0	""
"6086602"	0	""
"6082420"	15	""
"6087456"	3	""
"6086626"	0	""
"6076825"	355	""
"6082369"	0	""
"6076832"	0	""
"6076801"	17	""
"6082390"	0	""
"6076818"	56.9	""
"6086619"	0	""
"6084165"	0	""
"6005894"	0	""
"600597"	0	""
"600613"	0	""
"6012953"	0	""
"600541"	0	""
"6013059"	27	""
"6015688"	0	""
"6014575"	0	""
"6051150"	0	""
"600547"	0	""
"600548"	0	""
"6080341"	0	""
"6070601"	0	""
"6080334"	0	""
"601980"	0	""
"6085469"	0	""
"6086800"	0	""
"6080365"	0	""
"6080358"	0	""
"6086794"	0	""
"6071578"	0	""
"6085476"	0	""
"6080327"	0	""
"6049782"	0	""
"6085919"	0	""
"6085926"	0	""
"6060237"	0	""
"6080945"	0	""
"6041793"	0	""
"6000998"	0	""
"6002664"	393	""
"6081485"	0	""
"6086039"	0	""
"6077181"	0	""
"6077198"	0	""
"601746"	0	""
"600580"	0	""
"6055905"	0	""
"6081706"	0	""
"6081713"	0	""
"6081720"	0	""
"6033538"	128	""
"600419"	0	""
"600482"	1345	""
"600486"	0	""
"6015619"	0	""
"600822"	0	""
"6084479"	0	""
"6087333"	60	""
"6087326"	60	""
"6048785"	740.583	""
"6015299"	0	""
"6033521"	0	""
"6083458"	361	""
"6002374"	0	""
"6002497"	29	""
"6086077"	0	""
"6077310"	0	""
"6020309"	0	""
