PRDID	QTY
600219	1617.0
6079680	127.0
6083724	38.0
6083700	86.0
6083823	95.0
6065744	192.0
6071295	24.0
6060534	99.0
6021108	20.0
6060541	85.0
6079772	203.0
6079765	403.0
6049195	607.0
600381	177.0
6005894	249.0
6033538	161.0
600482	1163.0
6048785	1220.0
6083458	374.0
6017118	165.0
600858	1586.166
600861	475.0
600865	1745.0
6006457	660.0
6066482	937.0
601079	398.0
601258	157.0
6067137	503.0
6043834	620.0
6067229	627.125
6067236	869.625
6052430	757.0
6043841	1378.0
6067120	561.0
6070199	105.0
6054441	73.0
6054427	66.0
6054380	34.0
6054434	105.0
6054410	81.0
6054397	0
6003951	354.0
6004538	164.0
6083434	497.0
6083441	508.0
601583	314.0
6075774	409.0
601702	201.0
6073077	576.0
6064259	413.0
602066	386.0
602286	2161.0
602287	1027.0
6083717	360.0
6048204	630.0
6002237	118.0
6048198	923.0
6055530	565.0
6079437	348.0
601020	3224.0
6079444	565.0
601050	1573.0
6079420	208.0
6026110	400.0
6026127	182.0
602635	2852.0
601023	454.0
600222	841.0
6031220	145.0
6059972	183.0
600519	314.0
6081287	190.0
6081270	189.0
6081263	184.0
6081256	189.0
6081294	190.0
6000981	498.0
6002251	297.0
6002268	203.0
6082499	325.0
6084097	162.0
6083694	236.0
6084042	276.0
6002664	1261.0
6002497	314.0
6002220	399.0
6083830	323.0
6003425	413.0
6002343	324.0
6004248	2764.0
6015534	277.0
6005689	1457.0
6001827	258.0
6001828	231.0
6016890	174.0
6083335	284.0
6084080	239.0
6075026	363.0
6075484	27.0
6084301	20.0
6084295	20.0
6045715	48.0
6037574	144.0
6084233	10.0
6084226	9.0
6084240	9.0
6075460	59.0
6084318	56.0
6084257	40.0
6084325	60.0
6084264	60.0
6084271	40.0
6084288	54.0
6084356	120.0
6084349	60.0
6084363	60.0
6084332	120.0
6082314	640.0
6006327	124.0
6008833	30.0
6002848	129.0
6008741	9.0
600516	24.0
6045784	192.0
6043056	10.0
6025816	660.0
6012373	8.0
6060602	200.0
6030063	9.0
6008758	9.0
601774	15.0
602112	17.0
6065881	10.0
6025038	300.0
6003234	54.0
6027803	19.0
6003739	20.0
6068271	18.0
6071271	288.0
6030018	19.0
6065843	228.0
6025823	288.0
6068257	216.0
6074043	19.0
601645	23.0
6037659	47.0
6072674	84.0
6036959	342.0
602109	35.0
6001261	6.0
6008765	3.0
6071127	275.0
6019396	7.0
6071110	282.0
6008840	7.0
6002701	27.0
6004750	120.0
6040390	0.0
6083267	23.5
6052522	10.0
6074036	9.0
6040352	9.0
6040376	19.0
6071264	7.0
6071240	9.0
6040406	9.0
6052515	8.0
6040369	6.0
6078157	5.0
6072483	42.0
6072575	60.0
6072537	36.0
6073893	3.0
6072551	36.0
6072490	30.0
6072506	66.0
6072568	120.0
6072599	120.0
6072544	66.0
6072513	42.0
6073886	3.0
6072520	108.0
6072476	42.0
6072582	90.0
6073589	415.0
602700	107.0
601198	153.0
601195	156.0
6069988	155.0
600394	195.0
6056858	218.0
6069971	405.0
6056902	612.0
6052393	286.0
6041946	287.0
602708	819.0
600921	197.0
600968	414.0
600974	421.0
600970	209.0
600975	414.0
600977	821.0
6048525	120.0
602694	115.0
6001018	120.0
602699	116.0
602757	98.0
6069537	388.0
6057855	348.0
602657	348.0
602660	336.0
602664	176.0
600072	172.0
602661	49.0
602659	49.0
6039530	26.0
601669	88.0
6072254	59.0
6000103	291.0
6080174	60.0
6058302	56.0
6029838	30.0
602304	42.0
6022099	47.0
6017125	93.0
6024291	58.0
6022082	46.0
600012	48.0
600067	55.0
601664	53.0
600647	100.0
601849	20.0
600804	50.0
601051	50.0
6084738	240.0
6012397	900.0
601850	40.0
601007	50.0
601620	120.0
6040345	30.0
6040338	30.0
6084530	10.0
6084554	10.0
6084547	10.0
6052508	30.0
6073541	40.0
602591	432.0
602724	216.0
602698	72.0
602658	300.0
6054199	50.0
6039660	360.0
6064792	30.0
602782	216.0
6084585	60.0
6051648	30.0
602611	2400.0
601667	360.0
6084578	60.0
6084608	40.0
6084615	160.0
601566	90.0
6080167	120.0
6070175	160.0
