PRDID	QTY
600219	3504.0
6079680	63.0
6083724	33.833
6083700	59.0
6083823	92.0
6065744	47.583
6071295	0
6060534	87.0
6021108	0
6060541	46.0
6079772	178.0
6079765	387.0
6049195	601.0
600381	128.0
6005894	95.666
6033538	130.0
600482	2081.0
6048785	925.583
6083458	361.0
6017118	562.0
600858	4454.166
600861	1084.0
600865	2663.0
6006457	576.0
6066482	368.0
601079	185.0
601258	107.0
6067137	177.0
6043834	327.0
6067229	476.125
6067236	632.625
6052430	331.58
6043841	544.666
6067120	159.0
6070199	93.0
6054441	61.0
6054427	0.0
6054380	49.0
6054434	45.0
6054410	1.0
6054397	51.0
6003951	336.0
6004538	142.0
6083434	276.0
6083441	421.0
601583	282.0
6075774	295.0
601702	190.0
6073077	568.0
6064259	411.0
602066	364.0
602286	1897.0
602287	841.0
6083717	344.0
6048204	608.0
6002237	17.0
6048198	756.0
6055530	426.0
6079437	348.0
601020	2144.999
6079444	346.0
601050	1223.0
6079420	208.0
6026110	381.0
6026127	166.0
602635	0
601023	245.583
600222	2553.0
6031220	0.0
6059972	165.0
600519	82.0
6081287	184.0
6081270	180.0
6081263	175.0
6081256	186.0
6081294	187.0
6000981	159.0
6002251	169.0
6002268	0
6082499	270.0
6084097	131.0
6083694	221.0
6084042	271.0
6002664	393.0
6002497	237.0
6002220	297.0
6083830	167.0
6003425	152.0
6002343	313.0
6004248	542.0
6015534	177.0
6005689	356.0
6001827	12.0
6001828	0.0
6016890	117.0
6083335	244.0
6084080	183.0
6075026	178.0
6075484	0.0
6084301	0.0
6084295	0.0
6045715	0.0
6037574	3.0
6084233	0.0
6084226	0.0
6084240	0.0
6075460	25.0
6084318	37.0
6084257	32.0
6084325	39.0
6084264	24.0
6084271	24.0
6084288	1.0
6084356	69.0
6084349	37.0
6084363	49.0
6084332	103.0
6082314	108.0
6006327	5.0
6008833	0.0
6002848	31.0
6008741	6.0
600516	12.291
6045784	48.0
6043056	3.0
6025816	372.0
6012373	1.0
6060602	180.0
6030063	4.0
6008758	4.0
601774	2.0
602112	4.0
6065881	10.0
6025038	165.0
6003234	21.0
6027803	1.0
6003739	20.0
6068271	7.0
6071271	96.0
6030018	16.0
6065843	204.0
6025823	48.0
6068257	120.0
6074043	14.0
601645	0
6037659	28.0
6072674	48.0
6036959	59.0
602109	9.0
6001261	0.0
6008765	3.0
6071127	45.0
6019396	3.0
6071110	15.0
6008840	3.0
6002701	3.0
6004750	72.0
6040390	0.0
6083267	18.5
6052522	10.0
6074036	6.0
6040352	10.0
6040376	18.0
6071264	3.0
6071240	8.0
6040406	5.0
6052515	5.0
6040369	3.0
6078157	2.0
6072483	1.0
6072575	18.0
6072537	6.0
6073893	0.0
6072551	7.0
6072490	6.0
6072506	18.0
6072568	60.0
6072599	57.0
6072544	21.0
6072513	24.0
6073886	0.0
6072520	66.0
6072476	24.0
6072582	42.0
6073589	192.0
602700	26.0
601198	57.0
601195	72.0
6069988	108.0
600394	0.0
6056858	21.0
6069971	132.0
6056902	130.0
6052393	218.0
6041946	237.0
602708	133.0
600921	33.0
600968	175.0
600974	229.0
600970	115.0
600975	152.0
600977	317.0
6048525	83.0
602694	51.0
6001018	94.0
602699	56.0
602757	14.0
6069537	122.0
6057855	216.0
602657	174.0
602660	87.0
602664	126.0
600072	134.0
602661	27.0
602659	25.0
6039530	0.0
601669	63.0
6072254	22.0
6000103	189.0
6080174	39.0
6058302	40.0
6029838	27.0
602304	3.0
6022099	0
6017125	1.0
6024291	0.0
6022082	0.0
600012	18.0
600067	15.0
601664	18.0
600647	0.0
601849	4.0
600804	16.0
601051	18.0
6084738	20.0
6012397	564.0
601850	13.0
601007	23.0
601620	36.0
6040345	20.0
6040338	19.0
6084530	6.0
6084554	5.0
6084547	4.0
6052508	29.0
6073541	21.0
602591	2.5
602724	327.0
602698	74.0
602658	256.0
6054199	3.0
6039660	293.0
6064792	4.0
602782	281.0
6084585	0
6051648	30.0
602611	716.0
601667	108.0
6084578	16.0
6084608	0
6084615	0.0
601566	48.0
6080167	51.0
6070175	240.0
6084837	359.0
600868	1047.0
6002121	53.0
6083366	5.0
6083373	10.0
6039011	20.0
6060473	2.0
6080266	40.0
600334	27.0
6080273	39.0
600253	32.0
602637	2747.0
6048136	203.0
6003418	33.0
6075156	57.0
602077	224.0
602346	54.0
602079	59.0
6070786	25.0
6061395	13.0
6052843	112.0
6022150	124.0
601276	113.0
6011932	24.0
601202	218.0
6080884	12.0
6080846	1.0
6085148	4.0
6080891	11.0
6080839	0.0
6003319	1.0
6080457	12.0
6080464	52.0
6080471	22.0
6085025	3.0
6075538	110.0
6022631	25.0
6055813	110.0
6007720	0.0
6011598	220.0
602616	180.0
6060626	6.0
6074746	3.0
6023065	4.0
6085032	0.0
6085049	3.0
6084851	43.0
6053765	38.0
6069858	60.0
600337	12.0
600336	6.0
600335	22.0
600338	3.0
600168	34.0
6058807	28.0
601292	140.0
601294	226.0
600254	27.0
601275	133.0
601387	115.0
602786	160.0
602763	256.0
602765	0
6013363	15.0
602618	141.0
602620	152.0
6085056	125.0
602192	648.0
602038	88.0
602051	30.0
6021146	439.0
602041	379.0
602040	183.0
602045	202.0
602047	75.0
602058	187.0
602055	96.0
602044	284.0
602049	437.0
602048	296.0
602061	6.0
602043	191.0
602053	114.0
602042	85.0
602059	61.0
602052	52.0
6029692	88.0
6051945	0.0
6051938	0.0
6075545	3.0
6002176	0.0
600653	350.0
6083021	14.0
6083014	10.0
6080907	6.0
6085087	14.0
6080822	2.0
6033989	25.0
6083199	21.0
6070779	32.0
6083175	32.0
6085223	46.0
6009243	34.0
6085216	28.0
6079949	18.0
6085247	75.0
6085230	28.0
6075033	12.0
6075057	16.0
602278	88.0
6083182	29.0
6045197	51.0
6085063	30.0
6060633	34.0
6076627	7.0
601138	447.0
