Code	Count
600219	1855.749
6079680	159.0
6083724	54.0
6083700	54.0
6083823	108.0
6065744	260.0
6071295	52.0
6060534	108.0
6021108	54.0
6060541	108.0
6079772	207.0
6079765	413.0
6049195	192.0
600381	205.0
6005894	304.0
6033538	192.0
600482	1648.0
6048785	473.0
6083458	377.0
6017118	172.0
600858	2085
600861	740.0
600865	1979.0
6006457	708.0
6066482	1172.0
601079	601.0
601258	178.0
6067137	609.0
6043834	903.0
6067229	697.0
6067236	991.0
6052430	948.0
6043841	1848.0
6067120	660.0
6070199	119.0
6054441	108.0
6054427	109.0
6054380	45.0
6054434	119.0
6054410	164.0
6054397	28.0
6003951	381.0
6004538	169.0
6083434	535.0
6083441	541.0
601583	372.0
6075774	409.0
601702	227.0
6073077	621.0
6064259	415.0
602066	412.0
602286	2291.0
602287	1098.0
6083717	380.0
6048204	659.0
6002237	223.0
6048198	1012.0
6055530	606.0
6079437	350.0
601020	1586.0
6079444	704.0
601050	776.0
6079420	208.0
6026110	208.0
6026127	208.0
602635	318.0
