sku,qty
600219,1727.0
6079680,147.0
6083724,49.0
6083700,103.0
6083823,105.0
6065744,226.0
6071295,40.0
6060534,104.0
6021108,37.0
6060541,92.0
6079772,205.0
6079765,413.0
6049195,607.0
600381,183.0
6005894,290.0
6033538,176.0
600482,1386.0
6048785,1277.0
6083458,374.0
6017118,166.0
600858,2262.166
600861,590.0
600865,1899.0
6006457,682.0
6066482,1063.0
601079,479.0
601258,170.0
6067137,578.0
6043834,773.0
6067229,665.0
6067236,934.5
6052430,861.0
6043841,1619.0
6067120,660.0
6070199,119.0
6054441,81.0
6054427,77.0
6054380,41.0
6054434,113.0
6054410,127.0
6054397,0
6003951,367.0
6004538,164.0
6083434,510.0
6083441,521.0
601583,351.0
6075774,409.0
601702,222.0
6073077,614.0
6064259,414.0
602066,400.0
602286,2210.0
602287,1051.0
6083717,380.0
6048204,654.0
6002237,138.0
6048198,985.0
6055530,592.0
6079437,348.0
601020,3447.0
6079444,646.0
601050,1684.0
6079420,208.0
6026110,412.0
6026127,205.0
602635,3573.0
601023,554.0
600222,995.0
6031220,188.0
6059972,199.0
600519,411.0
6081287,192.0
6081270,192.0
6081263,186.0
6081256,189.0
6081294,191.0
6000981,589.0
6002251,324.0
6002268,264.0
6082499,327.0
6084097,168.0
6083694,238.0
6084042,284.0
6002664,1655.0
6002497,317.0
6002220,432.0
6083830,376.0
6003425,428.0
6002343,324.0
6004248,3285.0
6015534,434.0
6005689,1636.0
6001827,273.0
6001828,278.0
6016890,177.0
6083335,284.0
6084080,275.0
6075026,377.0
