PRDID	QTY
600219	3977.0
6079680	98.0
6083724	35.833
6083700	76.0
6083823	94.0
6065744	152.583
6071295	4.0
6060534	95.0
6021108	9.999
6060541	75.0
6079772	203.0
6079765	399.0
6049195	604.0
600381	154.0
6005894	240.666
6033538	149.0
600482	867.0
6048785	1130.583
6083458	373.0
6017118	581.0
600858	5703.166
600861	1556.0
600865	3020.0
6006457	643.0
6066482	776.0
601079	0
601258	156.0
6067137	420.0
6043834	403.0
6067229	573.125
6067236	806.625
6052430	640.0
6043841	1109.0
6067120	441.0
6070199	100.0
6054441	48.0
6054427	31.0
6054380	13.0
6054434	88.0
6054410	42.0
6054397	0.0
6003951	349.0
6004538	156.0
6083434	405.0
6083441	486.0
601583	314.0
6075774	321.0
601702	195.0
6073077	568.0
6064259	413.0
602066	383.0
602286	2106.0
602287	1006.0
6083717	354.0
6048204	627.0
6002237	92.0
6048198	889.0
6055530	521.0
6079437	348.0
601020	2947.999
6079444	400.0
601050	1468.0
6079420	208.0
6026110	396.0
6026127	176.0
602635	1997.0
601023	327.0
600222	3129.0
6031220	69.0
6059972	178.0
600519	279.0
6081287	187.0
6081270	185.0
6081263	182.0
6081256	188.0
6081294	190.0
6000981	405.0
6002251	264.0
6002268	146.0
6082499	322.0
6084097	158.0
6083694	236.0
6084042	271.0
6002664	938.0
6002497	301.0
6002220	383.0
6083830	286.0
6003425	383.0
6002343	318.0
6004248	2228.0
6015534	277.0
6005689	1288.0
6001827	236.0
6001828	181.0
6016890	170.0
6083335	284.0
6084080	239.0
6075026	312.0
6075484	5.0
6084301	0.0
6084295	0.0
6045715	0.0
6037574	9.0
6084233	0.0
6084226	0.0
6084240	0.0
6075460	39.0
6084318	37.0
6084257	36.0
6084325	40.0
6084264	40.0
6084271	30.0
6084288	25.0
6084356	81.0
6084349	53.0
6084363	59.0
6084332	114.0
6082314	349.0
6006327	47.0
6008833	18.0
6002848	91.0
6008741	8.0
600516	22.708
6045784	156.0
6043056	3.0
6025816	612.0
6012373	3.0
6060602	200.0
6030063	7.0
6008758	7.0
601774	11.0
602112	14.0
6065881	10.0
6025038	240.0
6003234	38.0
6027803	16.0
6003739	20.0
6068271	13.0
6071271	264.0
6030018	19.0
6065843	228.0
6025823	240.0
6068257	216.0
6074043	18.0
601645	13.0
6037659	43.0
6072674	72.0
6036959	222.0
602109	28.0
6001261	0.0
6008765	3.0
6071127	90.0
6019396	3.0
6071110	93.0
6008840	5.0
6002701	22.0
6004750	108.0
6040390	0.0
6083267	18.5
6052522	10.0
6074036	6.0
6040352	9.0
6040376	17.0
6071264	3.0
6071240	8.0
6040406	5.0
6052515	5.0
6040369	2.0
6078157	2.0
6072483	0.0
6072575	24.0
6072537	6.0
6073893	0.0
6072551	6.0
6072490	6.0
6072506	30.0
6072568	78.0
6072599	74.0
6072544	33.0
6072513	24.0
6073886	0.0
6072520	90.0
6072476	30.0
6072582	53.0
6073589	337.0
602700	69.0
601198	128.0
601195	115.0
6069988	133.0
600394	98.0
6056858	92.0
6069971	325.0
6056902	457.0
6052393	268.0
6041946	269.0
602708	630.0
600921	129.0
600968	328.0
600974	335.0
600970	175.0
600975	332.0
600977	662.0
6048525	99.0
602694	87.0
6001018	109.0
602699	91.0
602757	14.0
6069537	307.0
6057855	264.0
602657	312.0
602660	264.0
602664	160.0
600072	165.0
602661	45.0
602659	48.0
6039530	12.0
601669	83.0
6072254	50.0
6000103	253.0
6080174	57.0
6058302	52.0
6029838	30.0
602304	20.0
6022099	34.0
6017125	46.0
6024291	42.0
6022082	30.0
600012	37.0
600067	46.0
601664	49.0
600647	35.0
601849	14.0
600804	41.0
601051	42.0
6084738	20.0
6012397	808.0
601850	30.0
601007	42.0
601620	82.0
6040345	20.0
6040338	19.0
6084530	6.0
6084554	5.0
6084547	4.0
6052508	29.0
6073541	30.0
602591	306.5
602724	399.0
602698	93.0
602658	286.0
6054199	27.0
6039660	342.0
6064792	5.0
602782	387.0
6084585	24.0
6051648	37.0
602611	1998.0
601667	281.0
6084578	44.0
6084608	19.0
6084615	0.0
601566	64.0
6080167	88.0
6070175	288.0
6084837	411.0
600868	1435.0
