PRDID	QTY
600219	3371.0
6079680	59.0
6083724	33.833
6083700	57.0
6083823	92.0
6065744	19.583
6071295	0.0
6060534	86.0
6021108	0
6060541	43.0
6079772	178.0
6079765	384.0
6049195	598.0
600381	122.0
6005894	90.666
6033538	130.0
600482	1951.0
6048785	909.583
6083458	361.0
6017118	556.0
600858	4133.166
600861	995.0
600865	2578.0
6006457	570.0
6066482	368.0
601079	77.0
601258	106.0
6067137	113.0
6043834	327.0
6067229	434.125
6067236	579.625
6052430	257.58
6043841	543.666
6067120	159.0
6070199	92.0
6054441	37.0
6054427	0.0
6054380	37.0
6054434	30.0
6054410	1.0
6054397	39.0
6003951	336.0
6004538	142.0
6083434	276.0
6083441	421.0
601583	282.0
6075774	295.0
601702	187.0
6073077	568.0
6064259	411.0
602066	357.0
602286	1874.0
602287	819.0
6083717	342.0
6048204	607.0
6002237	0
6048198	740.0
6055530	412.333
6079437	348.0
601020	2012.999
6079444	346.0
601050	1164.0
6079420	208.0
6026110	374.0
6026127	162.0
602635	0
601023	245.583
600222	2428.0
6031220	0.0
6059972	107.0
600519	31.0
6081287	183.0
6081270	178.0
6081263	170.0
6081256	184.0
6081294	186.0
6000981	156.0
6002251	164.0
6002268	0
6082499	270.0
6084097	127.0
6083694	221.0
6084042	241.0
6002664	393.0
6002497	219.0
6002220	279.0
6083830	147.0
6003425	140.0
6002343	313.0
6004248	542.0
6015534	177.0
6005689	277.0
6001827	0
6001828	0.0
6016890	111.0
6083335	244.0
6084080	183.0
6075026	136.0
6075484	0.0
6084301	0.0
6084295	0.0
6045715	0.0
6037574	3.0
6084233	0.0
6084226	0.0
6084240	0.0
6075460	24.0
6084318	37.0
6084257	32.0
6084325	39.0
6084264	24.0
6084271	24.0
6084288	1.0
6084356	67.0
6084349	37.0
6084363	49.0
6084332	103.0
6082314	108.0
6006327	5.0
6008833	1.0
6002848	31.0
6008741	6.0
600516	10.291
6045784	36.0
6043056	3.0
6025816	300.0
6012373	1.0
6060602	180.0
6030063	4.0
6008758	4.0
601774	1.0
602112	4.0
6065881	10.0
6025038	141.0
6003234	18.0
6027803	1.0
6003739	20.0
6068271	3.0
6071271	84.0
6030018	16.0
6065843	204.0
6025823	48.0
6068257	114.0
6074043	14.0
601645	0.0
6037659	27.0
6072674	48.0
6036959	32.0
602109	9.0
6001261	0.0
6008765	3.0
6071127	45.0
6019396	3.0
6071110	15.0
6008840	3.0
6002701	0
6004750	72.0
6040390	0.0
6083267	18.5
6052522	10.0
6074036	6.0
6040352	10.0
6040376	18.0
6071264	3.0
6071240	8.0
6040406	5.0
6052515	5.0
6040369	3.0
6078157	2.0
6072483	1.0
6072575	18.0
6072537	6.0
6073893	0.0
6072551	7.0
6072490	6.0
6072506	18.0
6072568	60.0
6072599	51.0
6072544	21.0
6072513	24.0
6073886	0.0
6072520	66.0
6072476	24.0
6072582	42.0
6073589	165.0
602700	23.0
601198	42.0
601195	55.0
6069988	91.0
600394	0.0
6056858	21.0
6069971	115.0
6056902	89.0
6052393	212.0
6041946	231.0
602708	6.0
600921	33.0
600968	153.0
600974	191.0
600970	105.0
600975	134.0
600977	213.0
6048525	76.0
602694	50.0
6001018	89.0
602699	51.0
602757	14.0
6069537	93.0
6057855	216.0
602657	158.0
602660	87.0
602664	120.0
600072	131.0
602661	26.0
602659	23.0
6039530	0.0
601669	57.0
6072254	20.0
6000103	172.0
6080174	37.0
6058302	37.0
6029838	27.0
602304	3.0
6022099	0.0
6017125	1.0
6024291	0.0
6022082	0.0
600012	12.0
600067	7.0
601664	13.0
600647	0.0
601849	4.0
600804	13.0
601051	13.0
6084738	20.0
6012397	511.0
601850	11.0
601007	21.0
601620	36.0
6040345	20.0
6040338	19.0
6084530	6.0
6084554	5.0
6084547	4.0
6052508	29.0
6073541	19.0
602591	0
602724	312.0
602698	74.0
602658	242.0
6054199	3.0
6039660	276.0
6064792	4.0
602782	263.0
6084585	0
6051648	30.0
602611	542.0
601667	81.0
6084578	14.0
6084608	0.0
6084615	0.0
601566	48.0
6080167	35.0
6070175	240.0
6084837	359.0
600868	965.0
6002121	53.0
6083366	4.0
6083373	9.0
6039011	18.0
6060473	1.0
6080266	42.0
600334	26.0
6080273	37.0
600253	30.0
602637	2712.0
6048136	203.0
6003418	32.0
6075156	50.0
602077	223.0
602346	52.0
602079	59.0
6070786	24.0
6061395	9.0
6052843	111.0
6022150	124.0
601276	113.0
6011932	24.0
601202	206.0
6080884	12.0
6080846	0
6085148	4.0
6080891	10.0
6080839	0.0
6003319	0
6080457	12.0
6080464	50.0
6080471	22.0
6085025	3.0
6075538	105.0
6022631	25.0
6055813	105.0
6007720	0.0
6011598	212.0
602616	170.0
6060626	6.0
6074746	3.0
6023065	4.0
6085032	0.0
6085049	3.0
6084851	42.0
6053765	38.0
6069858	36.0
600337	12.0
600336	6.0
600335	21.0
600338	3.0
600168	31.0
6058807	20.0
601292	123.0
601294	217.0
600254	27.0
601275	117.0
601387	86.0
602786	153.0
602763	239.0
602765	0
6013363	15.0
602618	130.0
602620	137.0
6085056	118.0
602192	552.0
602038	61.0
602051	27.0
6021146	435.0
602041	339.0
602040	168.0
602045	140.0
602047	60.0
602058	96.0
602055	76.0
602044	226.0
602049	404.0
602048	54.0
602061	0
602043	162.0
602053	105.0
602042	72.0
602059	34.0
602052	48.0
6029692	84.0
6051945	0.0
6051938	0.0
6075545	3.0
6002176	0.0
600653	296.0
6083021	14.0
6083014	10.0
6080907	5.0
6085087	11.0
6080822	0.0
6033989	25.0
6083199	18.0
6070779	30.0
6083175	32.0
6085223	46.0
6009243	32.0
6085216	27.0
6079949	18.0
6085247	74.0
6085230	26.0
6075033	10.0
6075057	17.0
602278	88.0
6083182	28.0
6045197	51.0
6085063	30.0
6060633	34.0
6076627	7.0
601138	443.0
6048877	34.0
6043636	30.0
6032159	9.0
6055837	29.0
6064921	30.0
6064945	26.0
601111	20.0
601109	12.0
601110	19.0
6024420	29.0
6064808	13.0
602090	7.0
6073534	33.0
600084	186.0
6056780	169.0
6010621	0
601207	45.0
6064907	16.0
6064891	16.0
6083052	26.0
6084684	294.0
600615	192.0
6065133	300.0
6064778	420.0
6081997	416.0
6043643	216.0
6049072	6.0
601228	120.0
601225	78.166
6077433	52.0
6077419	41.0
6077426	51.0
6077556	0.0
6077563	67.0
6079093	140.0
6079192	30.0
6080044	84.0
6002596	6.0
600017	48.0
6025137	449.0
6068455	11.0
6077488	221.0
6077440	539.0
6046965	10.0
6043704	39.0
6061166	54.0
6008413	12.0
6062736	474.0
6060831	118.0
6047986	158.0
6027896	16.0
6024321	19.0
6010645	12.0
6010638	5.0
6016609	140.0
6075187	5760.0
6003630	0.0
602088	6.0
6024437	120.0
6061548	1899.0
6010461	1.0
6077525	149.0
6077532	184.0
6084486	411.0
6084592	87.0
6003593	107.0
6006761	175.0
6007713	0
602469	273.0
6024413	2052.0
6063740	23.0
6063344	23.0
6075019	54.0
6080815	18.0
6079468	19.0
6049980	14.0
6080532	109.0
6080549	112.0
6062309	17.0
6073718	16.0
6083281	54.0
6068974	17.0
601223	204.0
6038496	36.0
6054755	119.0
601178	378.0
6084653	41.0
601266	1506.0
601283	240.0
601176	22.0
602086	199.0
602104	17.0
602128	288.0
6075095	50.0
6076504	5.0
6072735	5.0
6039547	0
6060961	9.0
6024758	0
6024246	5.0
6012808	6.0
6024222	0
6024239	23.0
6072759	0.0
6072742	3.0
6026448	8.0
6006969	3.0
6079086	30.0
6081690	22.0
6048532	843.0
6044268	152.0
6080068	174.0
6080051	150.0
6029821	7.0
6079277	84.0
6060572	8.0
6016593	0
6085254	12.0
6085346	18.0
6085285	22.0
6085261	7.0
6012991	0.0
6012960	516.0
6013134	430.0
6068462	33.0
6029686	195.0
6060312	83.0
6085339	64.0
6085292	8.0
6085322	30.0
6085315	27.0
6085308	30.0
6081416	5.0
6081423	2.0
6085452	16.0
6085438	3.0
6085391	90.0
6085377	24.0
6085384	14.0
6085490	17.0
6085506	15.0
6085513	38.0
600286	92.0
6085643	16.0
6085667	26.0
6085650	30.0
6085704	27.0
6085681	10.0
6085629	12.0
6085636	16.0
6085674	22.0
6082857	20.0
600967	33.0
6085735	26.0
6085698	13.0
6057183	29.0
6086251	49.0
6079482	51.0
6086237	34.0
6086244	51.0
6079666	48.0
6054403	55.0
6086015	19.0
6086008	12.0
6085995	39.0
6086299	56.0
6086282	47.0
6053321	4731.0
