Code	Count
600219	3815.0
6079680	89.0
6083724	34.833
6083700	70.0
6083823	94.0
6065744	125.583
6071295	1.0
6060534	93.0
6021108	0.0
6060541	66.0
6079772	203.0
6079765	393.0
6049195	602.0
600381	150.0
6005894	187.666
6033538	145.0
600482	581.0
6048785	1010.583
6083458	364.0
6017118	575.0
600858	4938.166
600861	1414.0
600865	2881.0
6006457	640.0
6066482	666.0
601079	0
601258	149.0
6067137	329.0
6043834	340.0
6067229	538.125
6067236	738.625
6052430	521.0
6043841	842.0
6067120	321.0
6070199	99.0
6054441	27.0
6054427	13.0
6054380	6.0
6054434	69.0
6054410	4.0
6054397	0.0
6003951	345.0
6004538	145.0
6083434	306.0
6083441	484.0
601583	292.0
6075774	310.0
601702	195.0
6073077	568.0
6064259	411.0
602066	380.0
602286	1994.0
602287	912.0
6083717	348.0
6048204	621.0
6002237	68.0
6048198	855.0
6055530	483.0
6079437	348.0
601020	2599.999
6079444	346.0
601050	1352.0
6079420	208.0
6026110	388.0
6026127	170.0
602635	1061.0
601023	200.583
600222	2930.0
6031220	27.0
6059972	178.0
600519	171.0
6081287	187.0
6081270	184.0
6081263	181.0
6081256	188.0
6081294	188.0
6000981	258.0
6002251	200.0
6002268	17.0
6082499	293.0
6084097	155.0
6083694	225.0
6084042	271.0
6002664	825.0
6002497	280.0
6002220	337.0
6083830	262.0
6003425	322.0
6002343	314.0
6004248	1363.0
6015534	264.0
6005689	950.0
6001827	141.0
6001828	58.0
6016890	141.0
6083335	278.0
6084080	183.0
6075026	259.0
6075484	0
6084301	0.0
6084295	0.0
6045715	0.0
6037574	3.0
6084233	0.0
6084226	0.0
6084240	0.0
6075460	26.0
6084318	34.0
6084257	32.0
6084325	39.0
6084264	24.0
6084271	24.0
6084288	1.0
6084356	69.0
6084349	37.0
6084363	49.0
6084332	103.0
6082314	99.0
6006327	5.0
6008833	8.0
6002848	63.0
6008741	6.0
600516	18.291
6045784	96.0
6043056	3.0
6025816	516.0
6012373	1.0
6060602	180.0
6030063	6.0
6008758	4.0
601774	7.0
602112	11.0
6065881	10.0
6025038	204.0
6003234	31.0
6027803	11.0
6003739	20.0
6068271	11.0
6071271	204.0
6030018	19.0
6065843	216.0
6025823	168.0
6068257	180.0
6074043	16.0
601645	3.0
6037659	36.0
6072674	72.0
6036959	158.0
602109	24.0
6001261	0.0
6008765	3.0
6071127	54.0
6019396	3.0
6071110	16.0
6008840	4.0
6002701	16.0
6004750	84.0
6040390	0.0
6083267	18.5
6052522	10.0
6074036	6.0
6040352	10.0
6040376	18.0
6071264	3.0
6071240	8.0
6040406	5.0
6052515	5.0
6040369	3.0
6078157	2.0
6072483	0.0
6072575	24.0
6072537	6.0
6073893	0.0
6072551	6.0
6072490	6.0
6072506	30.0
6072568	78.0
6072599	74.0
6072544	33.0
6072513	24.0
6073886	0.0
6072520	84.0
6072476	30.0
6072582	53.0
6073589	294.0
602700	49.0
601198	94.0
601195	102.0
6069988	122.0
600394	25.0
6056858	21.0
6069971	241.0
6056902	315.0
6052393	255.0
6041946	259.0
602708	406.0
600921	69.0
600968	262.0
600974	291.0
600970	155.0
600975	251.0
