Code	Count
600219	3721.0
6079680	85.0
6083724	34.833
6083700	67.0
6083823	94.0
6065744	111.583
6071295	0
6060534	90.0
6021108	0
6060541	61.0
6079772	178.0
6079765	392.0
6049195	602.0
600381	149.0
6005894	148.666
6033538	145.0
600482	443.0
6048785	1000.583
6083458	363.0
6017118	572.0
600858	5338.166
600861	1303.0
600865	2839.0
6006457	640.0
6066482	565.0
601079	0
601258	114.0
6067137	306.0
6043834	327.0
6067229	524.125
6067236	715.625
6052430	495.0
6043841	770.0
6067120	279.0
6070199	99.0
6054441	20.0
6054427	6.0
6054380	1.0
6054434	64.0
6054410	0
6054397	0.0
6003951	344.0
6004538	145.0
6083434	276.0
6083441	421.0
601583	289.0
6075774	303.0
601702	195.0
6073077	568.0
6064259	411.0
602066	376.0
602286	1965.0
602287	883.0
6083717	348.0
6048204	614.0
6002237	65.0
6048198	777.0
6055530	472.0
6079437	348.0
601020	2468.999
6079444	346.0
601050	1443.0
6079420	208.0
6026110	386.0
6026127	169.0
602635	736.0
601023	313.583
600222	2819.0
6031220	0
6059972	178.0
600519	154.0
6081287	186.0
6081270	183.0
6081263	179.0
6081256	186.0
6081294	187.0
6000981	240.0
6002251	200.0
6002268	9.0
6082499	290.0
6084097	154.0
6083694	221.0
6084042	271.0
6002664	669.0
6002497	276.0
6002220	337.0
6083830	239.0
6003425	285.0
6002343	314.0
6004248	1076.0
6015534	243.0
6005689	777.0
6001827	119.0
6001828	4.0
6016890	137.0
6083335	278.0
6084080	183.0
6075026	247.0
6075484	0.0
6084301	0.0
6084295	0.0
6045715	0.0
6037574	3.0
6084233	0.0
6084226	0.0
6084240	0.0
6075460	25.0
6084318	37.0
6084257	32.0
6084325	39.0
6084264	24.0
6084271	24.0
6084288	1.0
6084356	69.0
6084349	37.0
6084363	49.0
6084332	103.0
6082314	99.0
6006327	5.0
6008833	3.0
6002848	58.0
6008741	6.0
600516	18.291
6045784	84.0
6043056	3.0
6025816	492.0
6012373	1.0
6060602	180.0
6030063	6.0
6008758	4.0
601774	8.0
602112	10.0
6065881	10.0
6025038	192.0
6003234	30.0
6027803	11.0
6003739	20.0
6068271	10.0
6071271	180.0
6030018	19.0
6065843	216.0
6025823	156.0
6068257	168.0
6074043	16.0
601645	3.0
6037659	35.0
6072674	60.0
6036959	134.0
602109	22.0
6001261	0.0
6008765	3.0
6071127	51.0
6019396	3.0
6071110	15.0
6008840	4.0
6002701	15.0
6004750	72.0
6040390	0.0
6083267	18.5
6052522	10.0
6074036	6.0
6040352	10.0
6040376	18.0
6071264	3.0
6071240	8.0
6040406	5.0
6052515	5.0
6040369	3.0
6078157	2.0
6072483	0.0
6072575	18.0
6072537	6.0
6073893	0.0
6072551	6.0
6072490	6.0
6072506	24.0
6072568	72.0
6072599	68.0
6072544	27.0
6072513	24.0
6073886	0.0
6072520	78.0
6072476	24.0
6072582	47.0
6073589	280.0
602700	44.0
601198	84.0
601195	94.0
6069988	122.0
600394	0
6056858	21.0
6069971	222.0
6056902	287.0
6052393	241.0
6041946	255.0
602708	357.0
600921	51.0
600968	232.0
600974	267.0
600970	145.0
600975	238.0
600977	430.0
6048525	95.0
602694	66.0
6001018	105.0
602699	76.0
602757	14.0
6069537	203.0
6057855	252.0
602657	222.0
602660	171.0
602664	146.0
600072	143.0
602661	35.0
602659	39.0
6039530	5.0
601669	70.0
6072254	37.0
6000103	231.0
6080174	47.0
6058302	47.0
6029838	29.0
602304	3.0
6022099	10.0
6017125	1.0
6024291	16.0
6022082	10.0
600012	26.0
600067	34.0
601664	41.0
600647	0.0
601849	6.0
600804	29.0
601051	30.0
