PRDID	QTY
600219	1550.0
6079680	116.0
6083724	35.0
6083700	77.0
6083823	94.0
6065744	160.0
6071295	13.0
6060534	99.0
6021108	20.999
6060541	82.0
6079772	203.0
6079765	402.0
6049195	605.0
600381	161.0
6005894	249.0
6033538	158.0
600482	966.0
6048785	1180.0
6083458	374.0
6017118	165.0
600858	1024.166
600861	383.0
600865	1606.0
6006457	647.0
6066482	866.0
601079	348.0
601258	157.0
6067137	472.0
6043834	530.0
6067229	599.125
6067236	841.625
6052430	701.0
6043841	1261.0
6067120	503.0
6070199	105.0
6054441	62.0
6054427	45.0
6054380	27.0
6054434	96.0
6054410	59.0
6054397	0
6003951	353.0
6004538	164.0
6083434	492.0
6083441	502.0
601583	314.0
6075774	404.0
601702	196.0
6073077	572.0
6064259	413.0
602066	386.0
602286	2136.0
602287	1010.0
6083717	359.0
6048204	630.0
6002237	106.0
6048198	910.0
6055530	528.0
6079437	348.0
601020	3104.083
6079444	474.0
601050	1512.0
6079420	208.0
6026110	398.0
6026127	181.0
602635	2431.0
601023	393.0
600222	698.0
6031220	88.0
6059972	180.0
600519	290.0
6081287	189.0
6081270	188.0
6081263	183.0
6081256	188.0
6081294	190.0
6000981	470.0
6002251	282.0
6002268	178.0
6082499	323.0
6084097	161.0
6083694	236.0
6084042	271.0
6002664	994.0
6002497	314.0
6002220	388.0
6083830	316.0
6003425	395.0
6002343	322.0
6004248	2534.0
6015534	277.0
6005689	1397.0
6001827	256.0
6001828	207.0
6016890	174.0
6083335	284.0
6084080	239.0
6075026	316.0
6075484	19.0
6084301	13.0
6084295	3.0
6045715	35.0
6037574	63.0
6084233	7.0
6084226	6.0
6084240	2.0
6075460	54.0
6084318	40.0
6084257	36.0
6084325	50.0
6084264	50.0
6084271	34.0
6084288	42.0
6084356	111.0
6084349	60.0
6084363	60.0
6084332	120.0
6082314	446.0
6006327	92.0
6008833	28.0
6002848	112.0
6008741	9.0
600516	22.0
6045784	180.0
6043056	6.0
6025816	660.0
6012373	4.0
6060602	200.0
6030063	8.0
6008758	9.0
601774	12.0
602112	17.0
6065881	10.0
6025038	276.0
6003234	45.0
6027803	18.0
6003739	20.0
6068271	16.0
6071271	288.0
6030018	19.0
6065843	228.0
6025823	264.0
6068257	216.0
6074043	19.0
601645	18.0
6037659	47.0
6072674	84.0
6036959	295.0
602109	29.0
6001261	2.0
6008765	3.0
6071127	206.0
6019396	3.0
6071110	207.0
6008840	6.0
6002701	25.0
6004750	120.0
6040390	0.0
6083267	19.5
6052522	10.0
6074036	7.0
6040352	9.0
6040376	18.0
6071264	3.0
6071240	8.0
6040406	5.0
6052515	6.0
6040369	3.0
6078157	2.0
6072483	17.0
6072575	48.0
6072537	12.0
6073893	0.0
6072551	6.0
6072490	18.0
6072506	48.0
6072568	96.0
6072599	92.0
6072544	51.0
6072513	30.0
6073886	0.0
6072520	102.0
6072476	42.0
6072582	65.0
6073589	388.0
602700	94.0
601198	142.0
601195	125.0
6069988	140.0
600394	142.0
6056858	168.0
6069971	362.0
6056902	520.0
6052393	273.0
6041946	274.0
602708	712.0
600921	165.0
600968	366.0
600974	379.0
600970	195.0
600975	375.0
600977	720.0
6048525	110.0
602694	101.0
6001018	117.0
602699	103.0
602757	29.0
6069537	344.0
6057855	276.0
602657	324.0
602660	300.0
602664	166.0
600072	170.0
602661	47.0
602659	48.0
6039530	19.0
601669	87.0
6072254	55.0
6000103	273.0
6080174	59.0
6058302	55.0
6029838	30.0
602304	29.0
6022099	41.0
6017125	67.0
6024291	50.0
6022082	38.0
600012	40.0
600067	49.0
601664	50.0
600647	65.0
601849	15.0
600804	44.0
601051	48.0
6084738	20.0
6012397	837.0
601850	33.0
601007	48.0
601620	102.0
6040345	24.0
6040338	23.0
6084530	6.0
6084554	6.0
6084547	5.0
6052508	29.0
6073541	34.0
602591	363.0
602724	420.0
602698	130.0
602658	297.0
6054199	32.0
6039660	345.0
6064792	12.0
602782	419.0
6084585	41.0
6051648	52.0
602611	2160.0
601667	339.0
6084578	53.0
6084608	33.0
6084615	9.0
601566	78.0
6080167	108.0
6070175	296.0
