sku,qty,is_in_stock
600219,3218,1
6079680,143,1
6083724,29.833,1
6083700,42,1
6083823,144,1
6065744,108,1
6071295,0,0
6060534,75,1
6021108,0,0
6060541,33,1
6079772,178,1
6079765,384,1
6049195,597,1
600381,107,1
6005894,10.666,1
6033538,130,1
600482,1585,1
6048785,778.583,1
6083458,361,1
6017118,556,1
600858,3230.166,1
600861,560,1
600865,2332,1
6006457,691,1
6066482,221,1
601079,0,0
601258,58,1
6067137,0,0
6043834,822,1
6067229,325.125,1
6067236,396.875,1
6052430,11.58,1
6043841,540.249,1
6067120,159,1
6070199,87,1
6054441,7,1
6054427,60,1
6054380,42,1
6054434,36,1
6054410,46,1
6054397,49,1
6003951,329,1
6004538,127,1
6083434,276,1
6083441,410,1
601583,244,1
6075774,240,1
601702,149,1
6073077,519,1
6064259,408,1
602066,346,1
602286,1738,1
602287,741,1
6083717,332,1
6048204,606,1
6002237,60,1
6048198,675,1
6055530,373.333,1
6079437,169,1
601020,1668.999,1
6079444,149,1
601050,992,1
6079420,208,1
6026110,361,1
6026127,150,1
602635,0,0
601023,97.583,1
600222,2089.5,1
6031220,0,0
6059972,95,1
600519,210,1
6081287,167,1
6081270,160,1
6081263,152,1
6081256,169,1
6081294,169,1
6000981,162,1
6002251,94,1
6002268,6,1
6082499,259,1
6084097,115,1
6083694,221,1
6084042,104,1
6002664,393,1
6002497,115,1
6002220,0,0
6083830,48,1
6003425,0,0
6002343,205,1
6004248,542,1
6015534,177,1
6005689,0,0
6001827,0,0
6001828,0,0
6016890,44,1
6083335,135,1
6084080,183,1
6075026,116,1
6075484,0,0
6084301,0,0
6084295,0,0
6045715,0,0
6037574,3,1
6084233,0,0
6084226,0,0
6084240,0,0
6075460,23,1
6084318,37,1
6084257,32,1
6084325,39,1
6084264,24,1
6084271,24,1
6084288,1,1
6084356,67,1
6084349,36,1
6084363,48,1
6084332,102,1
6082314,108,1
6006327,5,1
6008833,0,0
6002848,31,1
6008741,6,1
600516,7.291,1
6045784,36,1
6043056,3,1
6025816,228,1
6012373,1,1
6060602,80,1
6030063,3,1
6008758,4,1
601774,0,0
602112,4,1
6065881,10,1
6025038,129,1
6003234,4,1
6027803,1,1
6003739,20,1
6068271,2,1
6071271,36,1
6030018,16,1
6065843,204,1
6025823,48,1
6068257,65,1
6074043,14,1
601645,0,0
6037659,20,1
6072674,12,1
6036959,28,1
602109,6,1
6001261,0,0
6008765,3,1
6071127,45,1
6019396,3,1
6071110,15,1
6008840,1,1
6002701,0,0
6004750,72,1
6040390,0,0
6083267,18.5,1
6052522,10,1
6074036,6,1
6040352,10,1
6040376,18,1
6071264,3,1
6071240,8,1
6040406,5,1
6052515,5,1
6040369,3,1
6078157,2,1
6072483,1,1
6072575,12,1
6072537,6,1
6073893,0,0
6072551,7,1
6072490,6,1
6072506,12,1
6072568,54,1
6072599,39,1
6072544,12,1
6072513,24,1
6073886,0,0
6072520,66,1
6072476,12,1
6072582,29,1
6073589,50,1
602700,0,0
601198,0,0
601195,0,0
6069988,40,1
600394,0,0
6056858,0,0
6069971,33,1
6056902,0,0
6052393,173,1
6041946,206,1
602708,0,0
600921,0,0
600968,40,1
600974,118,1
600970,54,1
600975,18,1
600977,0,0
6048525,51,1
602694,0,0
6001018,63,1
602699,4,1
602757,0,0
6069537,0,0
6057855,156,1
602657,62,1
602660,0,0
602664,86,1
600072,101,1
602661,10,1
602659,11,1
6039530,0,0
601669,23,1
6072254,6,1
6000103,99,1
6080174,28,1
6058302,21,1
6029838,25,1
602304,3,1
6022099,0,0
6017125,0,0
6024291,0,0
6022082,0,0
600012,0,0
600067,0,0
601664,0,0
600647,0,0
601849,4,1
600804,7,1
601051,0,0
6084738,20,1
6012397,283,1
601850,8,1
601007,7,1
601620,36,1
6040345,20,1
6040338,19,1
6084530,6,1
6084554,5,1
6084547,4,1
6052508,29,1
6073541,0,0
602591,0,0
602724,243,1
602698,0,0
602658,232,1
6054199,3,1
6039660,225,1
6064792,4,1
602782,212,1
6084585,0,0
6051648,30,1
602611,0,0
601667,0,0
6084578,5,1
6084608,0,0
6084615,0,0
601566,40,1
6080167,0,0
6070175,232,1
6084837,359,1
600868,801,1
6002121,49,1
6083366,0,0
6083373,6,1
6039011,14,1
6060473,1,1
6080266,40,1
600334,16,1
6080273,28,1
600253,25,1
602637,2312,1
6048136,101,1
6003418,28,1
6075156,37,1
602077,184,1
602346,31,1
602079,39,1
6070786,0,0
