PRDID	QTY
600219	3401.0
6079680	61.0
6083724	33.833
6083700	58.0
6083823	92.0
6065744	27.583
6071295	0.0
6060534	87.0
6021108	0
6060541	44.0
6079772	178.0
6079765	386.0
6049195	599.0
600381	124.0
6005894	95.666
6033538	130.0
600482	2016.0
6048785	916.583
6083458	361.0
6017118	558.0
600858	4281.166
600861	1017.0
600865	2594.0
6006457	574.0
6066482	368.0
601079	120.0
601258	107.0
6067137	138.0
6043834	327.0
6067229	453.125
6067236	605.625
6052430	288.58
6043841	543.666
6067120	159.0
6070199	92.0
6054441	40.0
6054427	0.0
6054380	39.0
6054434	33.0
6054410	1.0
6054397	39.0
6003951	336.0
6004538	142.0
6083434	276.0
6083441	421.0
601583	282.0
6075774	295.0
601702	189.0
6073077	568.0
6064259	411.0
602066	362.0
602286	1892.0
602287	840.0
6083717	344.0
6048204	608.0
6002237	1.0
6048198	752.0
6055530	421.333
6079437	348.0
601020	2077.999
6079444	346.0
601050	1200.0
6079420	208.0
6026110	381.0
6026127	166.0
602635	0
601023	245.583
600222	2464.0
6031220	0.0
6059972	107.0
600519	67.0
6081287	183.0
6081270	178.0
6081263	171.0
6081256	184.0
6081294	186.0
6000981	156.0
6002251	169.0
6002268	0
6082499	270.0
6084097	131.0
6083694	221.0
6084042	256.0
6002664	393.0
6002497	237.0
6002220	291.0
6083830	153.0
6003425	152.0
6002343	313.0
6004248	542.0
6015534	177.0
6005689	331.0
6001827	0
6001828	0.0
6016890	117.0
6083335	244.0
6084080	183.0
6075026	151.0
6075484	0
6084301	0.0
6084295	0.0
6045715	0.0
6037574	3.0
6084233	0.0
6084226	0.0
6084240	0.0
6075460	24.0
6084318	37.0
6084257	32.0
6084325	39.0
6084264	24.0
6084271	24.0
6084288	1.0
6084356	67.0
6084349	37.0
6084363	49.0
6084332	103.0
6082314	108.0
6006327	5.0
6008833	0.0
6002848	31.0
6008741	6.0
600516	11.291
6045784	48.0
6043056	3.0
6025816	360.0
6012373	1.0
6060602	180.0
6030063	4.0
6008758	4.0
601774	1.0
602112	4.0
6065881	10.0
6025038	153.0
6003234	18.0
6027803	1.0
6003739	20.0
6068271	5.0
6071271	84.0
6030018	16.0
6065843	204.0
6025823	48.0
6068257	114.0
6074043	14.0
601645	0.0
6037659	28.0
6072674	48.0
6036959	47.0
602109	9.0
6001261	0.0
6008765	3.0
6071127	45.0
6019396	3.0
6071110	15.0
6008840	3.0
6002701	1.0
6004750	72.0
6040390	0.0
6083267	18.5
6052522	10.0
6074036	6.0
6040352	10.0
6040376	18.0
6071264	3.0
6071240	8.0
6040406	5.0
6052515	5.0
6040369	3.0
6078157	2.0
6072483	1.0
6072575	18.0
6072537	6.0
6073893	0.0
6072551	7.0
6072490	6.0
6072506	18.0
6072568	60.0
6072599	51.0
6072544	21.0
6072513	24.0
6073886	0.0
6072520	66.0
6072476	24.0
6072582	42.0
6073589	179.0
602700	25.0
601198	47.0
601195	67.0
6069988	102.0
600394	0.0
6056858	21.0
6069971	123.0
6056902	110.0
6052393	217.0
6041946	233.0
602708	57.0
600921	33.0
600968	165.0
600974	206.0
600970	112.0
600975	146.0
600977	242.0
6048525	79.0
602694	51.0
6001018	92.0
602699	53.0
602757	14.0
6069537	111.0
6057855	216.0
602657	174.0
602660	87.0
602664	123.0
600072	133.0
602661	27.0
602659	23.0
6039530	0.0
601669	60.0
6072254	20.0
6000103	174.0
6080174	37.0
6058302	39.0
6029838	27.0
602304	3.0
6022099	0
6017125	1.0
6024291	0.0
6022082	0.0
600012	17.0
600067	12.0
601664	15.0
600647	0.0
601849	4.0
600804	16.0
601051	15.0
6084738	20.0
6012397	564.0
601850	12.0
601007	21.0
601620	36.0
6040345	20.0
6040338	19.0
6084530	6.0
6084554	5.0
6084547	4.0
6052508	29.0
6073541	20.0
602591	0
602724	319.0
602698	74.0
602658	251.0
6054199	3.0
6039660	290.0
6064792	4.0
602782	272.0
6084585	0
6051648	30.0
602611	692.0
601667	97.0
6084578	15.0
6084608	0.0
6084615	0.0
601566	48.0
6080167	37.0
6070175	240.0
