sku,qty
600219,3619
6079680,68
6083724,34.833
6083700,63
6083823,93
6065744,83.583
6071295,0
6060534,88
6021108,0
6060541,56
6079772,178
6079765,391
6049195,602
600381,136
6005894,119.666
6033538,132
600482,354
6048785,967.583
6083458,361
6017118,568
600858,5131.166
600861,1243
600865,2743
6006457,608
6066482,404
601079,0
601258,112
6067137,242
6043834,327
6067229,497.125
6067236,663.625
6052430,402.58
6043841,580.249
6067120,196
6070199,98
6054441,9
6054427,0
6054380,0
6054434,54
6054410,0
6054397,0
6003951,342
6004538,142
6083434,276
6083441,421
601583,283
6075774,295
601702,195
6073077,568
6064259,411
602066,371
602286,1940
602287,865
6083717,346
6048204,611
6002237,47
6048198,777
6055530,444
6079437,348
601020,2278.999
6079444,346
601050,1308
6079420,208
6026110,385
6026127,168
602635,229
601023,268.583
600222,2736
6031220,0
6059972,177
600519,106
6081287,184
6081270,183
6081263,178
6081256,186
6081294,187
6000981,182
6002251,192
6002268,0
6082499,287
6084097,145
6083694,221
6084042,271
6002664,405
6002497,258
6002220,328
6083830,223
6003425,230
6002343,314
6004248,725
6015534,177
6005689,601
6001827,82
6001828,0
6016890,120
6083335,278
6084080,183
6075026,216
6075484,0
6084301,0
6084295,0
6045715,0
6037574,3
6084233,0
6084226,0
6084240,0
6075460,25
6084318,37
6084257,32
6084325,39
6084264,24
6084271,24
6084288,1
6084356,69
6084349,37
6084363,49
6084332,103
6082314,97
6006327,5
6008833,0
6002848,41
6008741,6
600516,14.291
6045784,84
6043056,3
6025816,444
6012373,1
6060602,180
6030063,5
6008758,4
601774,5
602112,6
6065881,10
6025038,180
6003234,26
6027803,8
6003739,20
6068271,10
6071271,132
6030018,18
6065843,204
6025823,108
6068257,156
6074043,15
601645,0
6037659,29
6072674,60
6036959,91
602109,14
6001261,0
6008765,3
6071127,45
6019396,3
6071110,15
6008840,3
6002701,7
6004750,72
6040390,0
6083267,18.5
6052522,10
6074036,6
6040352,10
6040376,18
6071264,3
6071240,8
6040406,5
6052515,5
6040369,3
6078157,2
6072483,1
6072575,18
6072537,6
6073893,0
6072551,7
6072490,6
6072506,24
6072568,66
6072599,63
6072544,27
6072513,24
6073886,0
6072520,72
6072476,24
6072582,42
6073589,233
602700,30
601198,72
601195,78
6069988,114
600394,0
6056858,21
6069971,172
6056902,179
6052393,228
6041946,244
602708,237
600921,33
600968,199
600974,252
600970,128
600975,186
600977,370
6048525,87
602694,52
6001018,98
602699,61
602757,14
6069537,149
6057855,240
602657,198
602660,123
602664,135
600072,136
602661,31
602659,28
6039530,0
601669,67
6072254,26
6000103,200
6080174,41
6058302,41
6029838,28
602304,3
6022099,1
6017125,1
6024291,5
6022082,2
600012,21
600067,25
601664,29
600647,0
601849,5
600804,21
601051,22
6084738,20
6012397,599
601850,17
601007,25
601620,36
6040345,20
6040338,19
6084530,6
6084554,5
6084547,4
6052508,29
6073541,22
602591,59.5
602724,346
602698,74
602658,261
6054199,3
6039660,313
6064792,4
602782,302
6084585,0
6051648,30
602611,968
601667,144
6084578,26
6084608,0
6084615,0
601566,50
6080167,62
6070175,248
6084837,362
600868,1112
6002121,55
6083366,9
6083373,11
6039011,20
6060473,2
6080266,40
600334,29
6080273,40
600253,34
602637,3090
6048136,224
6003418,35
6075156,58
602077,237
602346,55
602079,59
6070786,27
6061395,23
6052843,118
6022150,124
601276,120
6011932,24
601202,228
6080884,12
6080846,2
6085148,14
6080891,12
6080839,0
6003319,13
6080457,12
6080464,53
6080471,22
6085025,3
6075538,112
6022631,26
6055813,116
6007720,1
6011598,232
602616,188
6060626,7
6074746,3
6023065,4
6085032,0
6085049,3
6084851,52
6053765,38
6069858,60
600337,15
600336,18
600335,30
600338,25
600168,36
6058807,28
601292,161
601294,240
600254,27
601275,149
601387,129
602786,166
602763,265
602765,0
6013363,20
602618,172
602620,178
6085056,145
602192,936
602038,113
602051,45
6021146,440
602041,410
602040,203
602045,326
602047,181
602058,321
602055,137
602044,388
602049,479
602048,361
602061,60
602043,265
602053,138
602042,109
602059,119
602052,55
6029692,94
6051945,5
6051938,7
6075545,3
6002176,2
600653,429
6083021,16
6083014,13
6080907,6
6085087,25
6080822,4
6033989,28
6083199,21
6070779,33
6083175,34
6085223,46
6009243,37
6085216,31
6079949,19
6085247,75
6085230,29
6075033,22
6075057,17
602278,97
6083182,30
6045197,51
6085063,30
6060633,35
6076627,10
601138,456
6048877,36
6043636,31
6032159,19
6055837,47
6064921,30
6064945,29
601111,24
601109,20
601110,23
6024420,43
6064808,19
602090,18
6073534,38
600084,256
6056780,193
6010621,116
601207,47
6064907,24
6064891,27
6083052,27
6084684,456
600615,396
6065133,300
6064778,534
6081997,492
6043643,312
6049072,8
601228,264
601225,101
6077433,58
6077419,52
6077426,57
6077556,6
6077563,67
6079093,206
6079192,30
6080044,120
6002596,17
600017,48
6025137,552
6068455,13
6077488,237
6077440,575
6046965,10
6043704,44
6061166,56
6008413,20
6062736,480
6060831,252
6047986,224
6027896,23
6024321,34
6010645,30
6010638,12
6016609,171
6075187,5760
6003630,242
602088,22
6024437,244
6061548,3216
6010461,242
6077525,222
6077532,264
6084486,431
6084592,93
6003593,518
6006761,279
6007713,0
602469,315
6024413,2052
6063740,24
6063344,23
6075019,96
6080815,54
6079468,23
6049980,17
6080532,113
6080549,120
6062309,23
6073718,25
6083281,70
6068974,24
601223,516
6038496,144
6054755,251
601178,474
6084653,60
601266,1998
601283,492
601176,31
602086,234
602104,25
602128,302
6075095,65
6076504,25
6072735,25
6039547,3
6060961,19
6024758,14
6024246,23
6012808,17
6024222,10
6024239,35
6072759,23
6072742,7
6026448,13
6006969,6
6079086,30
6081690,25
6048532,843
6044268,204
6080068,180
6080051,180
6029821,26
6079277,186
6060572,26
6016593,7
6085254,12
6085346,18
6085285,24
6085261,7
6012991,12
6012960,518
6013134,457
6068462,33
6029686,276
6060312,87
6085339,69
6085292,16
6085322,30
6085315,27
6085308,30
6081416,5
6081423,2
6085452,16
6085438,28
6085391,98
6085377,26
6085384,15
6085490,17
6085506,15
6085513,38
600286,115
6085643,19
6085667,40
6085650,38
6085704,30
6085681,28
6085629,24
6085636,24
6085674,24
6082857,20
600967,34
6085735,29
6085698,29
6057183,30
