PRDID	QTY
600219	3513.0
6079680	65.0
6083724	34.833
6083700	61.0
6083823	93.0
6065744	54.583
6071295	0
6060534	87.0
6021108	0
6060541	46.0
6079772	178.0
6079765	387.0
6049195	601.0
600381	130.0
6005894	99.666
6033538	130.0
600482	2094.0
6048785	932.583
6083458	361.0
6017118	562.0
600858	4518.166
600861	1093.0
600865	2678.0
6006457	586.0
6066482	371.0
601079	192.0
601258	108.0
6067137	194.0
6043834	327.0
6067229	478.125
6067236	637.625
6052430	350.58
6043841	549.249
6067120	161.0
6070199	93.0
6054441	62.0
6054427	0.0
6054380	50.0
6054434	45.0
6054410	1.0
6054397	54.0
6003951	339.0
6004538	142.0
6083434	276.0
6083441	421.0
601583	282.0
6075774	295.0
601702	190.0
6073077	568.0
6064259	411.0
602066	364.0
602286	1903.0
602287	841.0
6083717	344.0
6048204	609.0
6002237	17.0
6048198	763.0
6055530	428.0
6079437	348.0
601020	2153.999
6079444	346.0
601050	1232.0
6079420	208.0
6026110	381.0
6026127	166.0
602635	0
601023	246.583
600222	2560.0
6031220	0.0
6059972	166.0
600519	87.0
6081287	184.0
6081270	181.0
6081263	175.0
6081256	186.0
6081294	187.0
6000981	159.0
6002251	169.0
6002268	0
6082499	271.0
6084097	131.0
6083694	221.0
6084042	271.0
6002664	393.0
6002497	237.0
6002220	298.0
6083830	169.0
6003425	152.0
6002343	314.0
6004248	542.0
6015534	177.0
6005689	413.0
6001827	28.0
6001828	0.0
6016890	117.0
6083335	244.0
6084080	183.0
6075026	191.0
6075484	0.0
6084301	0.0
6084295	0.0
6045715	0.0
6037574	3.0
6084233	0.0
6084226	0.0
6084240	0.0
6075460	25.0
6084318	37.0
6084257	32.0
6084325	39.0
6084264	24.0
6084271	24.0
6084288	1.0
6084356	69.0
6084349	37.0
6084363	49.0
6084332	103.0
6082314	108.0
6006327	5.0
6008833	0.0
6002848	34.0
6008741	6.0
600516	13.291
6045784	48.0
6043056	3.0
6025816	396.0
6012373	1.0
6060602	180.0
6030063	4.0
6008758	4.0
601774	4.0
602112	4.0
6065881	10.0
6025038	165.0
6003234	24.0
6027803	2.0
6003739	20.0
6068271	8.0
6071271	96.0
6030018	17.0
6065843	204.0
6025823	48.0
6068257	132.0
6074043	15.0
601645	0.0
6037659	29.0
6072674	48.0
6036959	59.0
602109	9.0
6001261	0.0
6008765	3.0
6071127	45.0
6019396	3.0
6071110	15.0
6008840	3.0
6002701	3.0
6004750	72.0
6040390	0.0
6083267	18.5
6052522	10.0
6074036	6.0
6040352	10.0
6040376	18.0
6071264	3.0
6071240	8.0
6040406	5.0
6052515	5.0
6040369	3.0
6078157	2.0
6072483	1.0
6072575	18.0
6072537	6.0
6073893	0.0
6072551	7.0
6072490	6.0
6072506	18.0
6072568	60.0
6072599	57.0
6072544	21.0
6072513	24.0
6073886	0.0
6072520	66.0
6072476	24.0
6072582	42.0
6073589	201.0
602700	27.0
601198	58.0
601195	74.0
6069988	110.0
600394	0.0
6056858	21.0
6069971	140.0
6056902	143.0
6052393	221.0
6041946	237.0
602708	161.0
600921	33.0
600968	179.0
600974	234.0
600970	120.0
600975	159.0
600977	331.0
6048525	85.0
602694	51.0
6001018	95.0
602699	57.0
602757	14.0
6069537	128.0
6057855	228.0
602657	186.0
602660	99.0
602664	128.0
600072	136.0
602661	28.0
602659	25.0
6039530	0.0
601669	65.0
6072254	24.0
6000103	191.0
6080174	39.0
6058302	40.0
6029838	27.0
602304	3.0
6022099	0
6017125	1.0
6024291	0.0
6022082	0.0
600012	18.0
600067	16.0
601664	19.0
600647	0.0
601849	4.0
600804	17.0
601051	18.0
6084738	20.0
6012397	579.0
601850	15.0
601007	23.0
601620	36.0
6040345	20.0
6040338	19.0
6084530	6.0
6084554	5.0
6084547	4.0
6052508	29.0
6073541	21.0
602591	16.5
602724	331.0
602698	74.0
602658	258.0
6054199	3.0
6039660	293.0
6064792	4.0
602782	290.0
6084585	0
6051648	30.0
602611	764.0
601667	117.0
6084578	19.0
6084608	0
6084615	0.0
601566	48.0
6080167	53.0
6070175	248.0
6084837	359.0
600868	1058.0
6002121	54.0
6083366	7.0
6083373	10.0
6039011	20.0
6060473	2.0
6080266	40.0
600334	28.0
6080273	40.0
600253	33.0
602637	2761.0
6048136	203.0
6003418	34.0
6075156	58.0
602077	226.0
602346	55.0
602079	59.0
6070786	25.0
6061395	13.0
6052843	114.0
6022150	124.0
601276	113.0
6011932	24.0
601202	218.0
6080884	12.0
6080846	1.0
6085148	4.0
6080891	11.0
6080839	0.0
6003319	1.0
6080457	12.0
6080464	52.0
6080471	22.0
6085025	3.0
6075538	110.0
6022631	25.0
6055813	110.0
6007720	0.0
6011598	221.0
602616	180.0
6060626	6.0
6074746	3.0
6023065	4.0
6085032	0.0
6085049	3.0
6084851	45.0
6053765	38.0
6069858	60.0
600337	12.0
600336	6.0
600335	23.0
600338	3.0
600168	35.0
6058807	28.0
