sku,qty,is_in_stock
600219,1658,1
6079680,139,1
6083724,41,1
6083700,92,1
6083823,96,1
6065744,200,1
6071295,29,1
6060534,100,1
6021108,21,1
6060541,87,1
6079772,204,1
6079765,405,1
6049195,607,1
600381,179,1
6005894,252,1
6033538,165,1
600482,1241,1
6048785,1243,1
6083458,374,1
6017118,165,1
600858,1800.166,1
600861,522,1
600865,1780,1
6006457,664,1
6066482,994,1
601079,427,1
601258,157,1
6067137,534,1
6043834,678,1
6067229,646.125,1
6067236,905.625,1
6052430,803,1
6043841,1483,1
6067120,603,1
6070199,106,1
6054441,77,1
6054427,70,1
6054380,36,1
6054434,112,1
6054410,91,1
6054397,0,1
6003951,358,1
6004538,164,1
6083434,500,1
6083441,510,1
601583,314,1
6075774,409,1
601702,207,1
6073077,577,1
6064259,413,1
602066,386,1
602286,2179,1
602287,1033,1
6083717,363,1
6048204,632,1
6002237,124,1
6048198,949,1
6055530,577,1
6079437,348,1
601020,3307,1
6079444,600,1
601050,1620,1
6079420,208,1
6026110,401,1
6026127,183,1
602635,3256,1
601023,481,1
600222,895,1
6031220,171,1
6059972,186,1
600519,328,1
6081287,190,1
6081270,190,1
6081263,184,1
6081256,189,1
6081294,190,1
6000981,539,1
6002251,303,1
6002268,240,1
6082499,325,1
6084097,165,1
6083694,236,1
6084042,284,1
6002664,1417,1
6002497,314,1
6002220,399,1
6083830,326,1
6003425,416,1
6002343,324,1
6004248,2980,1
6015534,295,1
6005689,1540,1
6001827,258,1
6001828,237,1
6016890,174,1
6083335,284,1
6084080,239,1
6075026,363,1
6075484,720,1
6084301,480,1
6084295,480,1
6045715,60,1
6037574,180,1
6084233,40,1
6084226,40,1
6084240,40,1
6075460,240,1
6084318,60,1
6084257,40,1
6084325,60,1
6084264,60,1
6084271,40,1
6084288,60,1
6084356,120,1
6084349,60,1
6084363,60,1
6084332,120,1
6082314,800,1
6006327,4200,1
6008833,720,1
6002848,4200,1
6008741,360,1
600516,1440,1
6045784,240,1
6043056,240,1
6025816,360,1
6012373,480,1
6060602,200,1
6030063,400,1
6008758,360,1
601774,720,1
602112,960,1
6065881,480,1
6025038,360,1
6003234,1800,1
6027803,480,1
6003739,960,1
6068271,720,1
6071271,360,1
6030018,960,1
6065843,240,1
6025823,360,1
6068257,240,1
6074043,200,1
601645,1200,1
6037659,3000,1
6072674,120,1
6036959,360,1
602109,1440,1
6001261,480,1
6008765,360,1
6071127,300,1
6019396,480,1
6071110,300,1
6008840,360,1
6002701,1440,1
6004750,120,1
6040390,0,1
6083267,832,1
6052522,320,1
6074036,320,1
6040352,320,1
6040376,640,1
6071264,300,1
6071240,320,1
6040406,320,1
6052515,320,1
6040369,320,1
6078157,360,1
6072483,48,1
6072575,60,1
6072537,48,1
6073893,36,1
6072551,36,1
6072490,30,1
6072506,66,1
6072568,120,1
6072599,120,1
6072544,72,1
6072513,42,1
6073886,36,1
6072520,108,1
6072476,42,1
6072582,96,1
