sku,qty
600219,3980.0
6079680,108.0
6083724,35.833
6083700,76.0
6083823,94.0
6065744,152.583
6071295,5.0
6060534,98.0
6021108,11.999
6060541,76.0
6079772,203.0
6079765,399.0
6049195,605.0
600381,155.0
6005894,247.0
6033538,149.0
600482,873.0
6048785,1135.0
6083458,373.0
6017118,581.0
600858,5771.166
600861,1558.0
600865,3024.0
6006457,643.0
6066482,790.0
601079,0
601258,156.0
6067137,431.0
6043834,430.0
6067229,577.125
6067236,816.625
6052430,651.0
6043841,1139.0
6067120,457.0
6070199,101.0
6054441,48.0
6054427,32.0
6054380,14.0
6054434,88.0
6054410,42.0
6054397,0
6003951,350.0
6004538,156.0
6083434,416.0
6083441,496.0
601583,314.0
6075774,331.0
601702,195.0
6073077,568.0
6064259,413.0
602066,384.0
602286,2106.0
602287,1006.0
6083717,356.0
6048204,628.0
6002237,93.0
6048198,892.0
6055530,524.0
6079437,348.0
601020,2973.083
6079444,419.0
601050,1479.0
6079420,208.0
6026110,396.0
6026127,178.0
602635,2018.0
601023,334.0
600222,3133.0
6031220,69.0
6059972,178.0
600519,280.0
6081287,187.0
6081270,185.0
6081263,182.0
6081256,188.0
6081294,190.0
6000981,425.0
6002251,264.0
6002268,156.0
6082499,322.0
6084097,160.0
6083694,236.0
6084042,271.0
6002664,950.0
6002497,301.0
6002220,386.0
6083830,298.0
6003425,383.0
6002343,318.0
6004248,2310.0
6015534,277.0
6005689,1327.0
6001827,238.0
6001828,201.0
6016890,170.0
6083335,284.0
6084080,239.0
6075026,316.0
6075484,6.0
6084301,0.0
6084295,1.0
6045715,30.0
6037574,15.0
6084233,6.0
6084226,6.0
6084240,1.0
6075460,39.0
6084318,37.0
6084257,36.0
6084325,42.0
6084264,40.0
6084271,30.0
6084288,25.0
6084356,81.0
6084349,54.0
6084363,60.0
6084332,114.0
6082314,365.0
6006327,53.0
6008833,18.0
6002848,94.0
6008741,8.0
600516,22.708
6045784,156.0
6043056,3.0
6025816,612.0
6012373,3.0
6060602,200.0
6030063,7.0
6008758,8.0
601774,11.0
602112,15.0
6065881,10.0
6025038,240.0
6003234,38.0
6027803,17.0
6003739,20.0
6068271,15.0
6071271,264.0
6030018,19.0
6065843,228.0
6025823,240.0
6068257,216.0
6074043,19.0
601645,13.0
6037659,43.0
6072674,72.0
6036959,222.0
602109,29.0
6001261,0.0
6008765,3.0
6071127,90.0
6019396,3.0
6071110,93.0
6008840,5.0
6002701,22.0
6004750,108.0
6040390,0.0
6083267,18.5
6052522,10.0
6074036,6.0
6040352,9.0
6040376,17.0
6071264,3.0
6071240,8.0
6040406,5.0
6052515,5.0
6040369,2.0
6078157,2.0
6072483,0.0
6072575,36.0
6072537,6.0
6073893,0.0
6072551,6.0
6072490,6.0
6072506,30.0
6072568,84.0
6072599,74.0
6072544,33.0
6072513,24.0
6073886,0.0
6072520,90.0
6072476,36.0
6072582,53.0
6073589,340.0
602700,71.0
601198,128.0
601195,117.0
6069988,133.0
600394,108.0
6056858,101.0
6069971,326.0
6056902,464.0
6052393,269.0
6041946,269.0
602708,635.0
600921,130.0
600968,330.0
600974,341.0
600970,177.0
600975,337.0
600977,670.0
6048525,99.0
602694,87.0
6001018,109.0
602699,92.0
602757,14.0
6069537,313.0
6057855,264.0
602657,318.0
602660,276.0
602664,161.0
600072,165.0
602661,46.0
602659,48.0
6039530,12.0
601669,84.0
6072254,51.0
6000103,253.0
6080174,57.0
6058302,52.0
6029838,30.0
602304,21.0
6022099,36.0
6017125,50.0
6024291,46.0
6022082,32.0
600012,40.0
600067,47.0
601664,49.0
600647,45.0
601849,14.0
600804,41.0
601051,42.0
6084738,20.0
6012397,816.0
601850,30.0
601007,42.0
601620,84.0
6040345,20.0
6040338,21.0
6084530,6.0
6084554,5.0
6084547,4.0
6052508,29.0
6073541,30.0
602591,316.0
602724,408.0
602698,97.0
602658,286.0
6054199,27.0
6039660,342.0
6064792,7.0
602782,392.0
6084585,29.0
6051648,41.0
602611,2034.0
601667,308.0
6084578,48.0
6084608,21.0
6084615,0.0
601566,66.0
6080167,100.0
6070175,288.0
6084837,413.0
600868,1440.0
