PRDID	QTY
600219	3935.0
6079680	97.0
6083724	35.833
6083700	74.0
6083823	94.0
6065744	140.583
6071295	3.0
6060534	94.0
6021108	7.999
6060541	75.0
6079772	203.0
6079765	399.0
6049195	604.0
600381	153.0
6005894	222.666
6033538	146.0
600482	795.0
6048785	1110.583
6083458	371.0
6017118	578.0
600858	5416.166
600861	1506.0
600865	2949.0
6006457	640.0
6066482	738.0
601079	0
601258	153.0
6067137	372.0
6043834	349.0
6067229	555.125
6067236	776.625
6052430	588.0
6043841	993.0
6067120	388.0
6070199	99.0
6054441	35.0
6054427	17.0
6054380	9.0
6054434	75.0
6054410	28.0
6054397	0
6003951	348.0
6004538	152.0
6083434	326.0
6083441	484.0
601583	309.0
6075774	318.0
601702	195.0
6073077	568.0
6064259	413.0
602066	383.0
602286	2051.0
602287	957.0
6083717	351.0
6048204	624.0
6002237	76.0
6048198	881.0
6055530	509.0
6079437	348.0
601020	2848.999
6079444	364.0
601050	1437.0
6079420	208.0
6026110	393.0
6026127	173.0
602635	1634.0
601023	286.0
600222	3050.0
6031220	59.0
6059972	178.0
600519	242.0
6081287	187.0
6081270	185.0
6081263	182.0
6081256	188.0
6081294	190.0
6000981	346.0
6002251	224.0
6002268	71.0
6082499	321.0
6084097	156.0
6083694	236.0
6084042	271.0
6002664	926.0
6002497	289.0
6002220	382.0
6083830	286.0
6003425	346.0
6002343	314.0
6004248	1942.0
6015534	277.0
6005689	1197.0
6001827	201.0
6001828	144.0
6016890	168.0
6083335	284.0
6084080	239.0
6075026	285.0
6075484	1.0
6084301	0.0
6084295	0.0
6045715	0.0
6037574	3.0
6084233	0.0
6084226	0.0
6084240	0.0
6075460	39.0
6084318	37.0
6084257	32.0
6084325	40.0
6084264	32.0
6084271	26.0
6084288	25.0
6084356	75.0
6084349	43.0
6084363	49.0
6084332	112.0
6082314	117.0
6006327	31.0
6008833	17.0
6002848	84.0
6008741	7.0
600516	21.291
6045784	132.0
6043056	3.0
6025816	576.0
6012373	2.0
6060602	180.0
6030063	7.0
6008758	7.0
601774	11.0
602112	12.0
6065881	10.0
6025038	216.0
6003234	36.0
6027803	14.0
6003739	20.0
6068271	13.0
6071271	240.0
6030018	19.0
6065843	228.0
6025823	216.0
6068257	216.0
6074043	18.0
601645	11.0
6037659	38.0
6072674	72.0
6036959	198.0
602109	26.0
6001261	0.0
6008765	3.0
6071127	83.0
6019396	3.0
6071110	78.0
6008840	4.0
6002701	21.0
6004750	108.0
6040390	0.0
6083267	18.5
6052522	10.0
6074036	6.0
6040352	9.0
6040376	17.0
6071264	3.0
6071240	8.0
6040406	5.0
6052515	5.0
6040369	2.0
6078157	2.0
6072483	0.0
6072575	24.0
6072537	6.0
6073893	0.0
6072551	6.0
6072490	6.0
6072506	30.0
6072568	78.0
6072599	74.0
6072544	33.0
6072513	24.0
6073886	0.0
6072520	90.0
6072476	30.0
6072582	53.0
6073589	311.0
602700	58.0
601198	116.0
601195	107.0
6069988	129.0
600394	80.0
6056858	60.0
6069971	270.0
6056902	407.0
6052393	263.0
6041946	267.0
602708	565.0
600921	105.0
600968	309.0
600974	326.0
600970	170.0
600975	320.0
600977	616.0
6048525	98.0
602694	82.0
6001018	108.0
602699	86.0
602757	14.0
6069537	278.0
6057855	252.0
602657	252.0
602660	231.0
602664	153.0
600072	162.0
602661	43.0
602659	46.0
6039530	8.0
601669	81.0
6072254	46.0
6000103	250.0
6080174	48.0
6058302	50.0
6029838	29.0
602304	11.0
6022099	29.0
6017125	29.0
6024291	38.0
6022082	26.0
600012	33.0
600067	42.0
601664	47.0
600647	25.0
601849	13.0
600804	40.0
601051	39.0
6084738	20.0
6012397	778.0
601850	28.0
601007	38.0
