sku,qty
600219,3977
6079680,98
6083724,35.833
6083700,76
6083823,94
6065744,152.583
6071295,4
6060534,95
6021108,9.999
6060541,75
6079772,203
6079765,399
6049195,604
600381,154
6005894,240.666
6033538,149
600482,867
6048785,1130.583
6083458,373
6017118,581
600858,5703.166
600861,1556
600865,3020
6006457,643
6066482,776
601079,0
601258,156
6067137,420
6043834,403
6067229,573.125
6067236,806.625
6052430,640
6043841,1109
6067120,441
6070199,100
6054441,48
6054427,31
6054380,13
6054434,88
6054410,42
6054397,0
6003951,349
6004538,156
6083434,405
6083441,486
601583,314
6075774,321
601702,195
6073077,568
6064259,413
602066,383
602286,2106
602287,1006
6083717,354
6048204,627
6002237,92
6048198,889
6055530,521
6079437,348
601020,2947.999
6079444,400
601050,1468
6079420,208
6026110,396
6026127,176
602635,1997
601023,327
600222,3129
6031220,69
6059972,178
600519,279
6081287,187
6081270,185
6081263,182
6081256,188
6081294,190
6000981,405
6002251,264
6002268,146
6082499,322
6084097,158
6083694,236
6084042,271
6002664,938
6002497,301
6002220,383
6083830,286
6003425,383
6002343,318
6004248,2228
6015534,277
6005689,1288
6001827,236
6001828,181
6016890,170
6083335,284
6084080,239
6075026,312
6075484,5
6084301,0
6084295,0
6045715,0
6037574,9
6084233,0
6084226,0
6084240,0
6075460,39
6084318,37
6084257,36
6084325,40
6084264,40
6084271,30
6084288,25
6084356,81
6084349,53
6084363,59
6084332,114
6082314,349
6006327,47
6008833,18
6002848,91
6008741,8
600516,22.708
6045784,156
6043056,3
6025816,612
6012373,3
6060602,200
6030063,7
6008758,7
601774,11
602112,14
6065881,10
6025038,240
6003234,38
6027803,16
6003739,20
6068271,13
6071271,264
6030018,19
6065843,228
6025823,240
6068257,216
6074043,18
601645,13
6037659,43
6072674,72
6036959,222
602109,28
6001261,0
6008765,3
6071127,90
6019396,3
6071110,93
6008840,5
6002701,22
6004750,108
6040390,0
6083267,18.5
6052522,10
6074036,6
6040352,9
6040376,17
6071264,3
6071240,8
6040406,5
6052515,5
6040369,2
6078157,2
6072483,0
6072575,24
6072537,6
6073893,0
6072551,6
6072490,6
6072506,30
6072568,78
6072599,74
6072544,33
6072513,24
6073886,0
6072520,90
6072476,30
6072582,53
6073589,337
602700,69
601198,128
601195,115
6069988,133
600394,98
6056858,92
6069971,325
6056902,457
6052393,268
6041946,269
602708,630
600921,129
600968,328
600974,335
600970,175
600975,332
600977,662
6048525,99
602694,87
6001018,109
602699,91
602757,14
6069537,307
6057855,264
602657,312
602660,264
602664,160
600072,165
602661,45
602659,48
6039530,12
601669,83
6072254,50
6000103,253
6080174,57
6058302,52
6029838,30
602304,20
6022099,34
6017125,46
6024291,42
6022082,30
600012,37
600067,46
601664,49
600647,35
601849,14
600804,41
601051,42
6084738,20
6012397,808
601850,30
601007,42
601620,82
6040345,20
6040338,19
6084530,6
6084554,5
6084547,4
6052508,29
6073541,30
602591,306.5
602724,399
602698,93
602658,286
6054199,27
6039660,342
6064792,5
602782,387
6084585,24
6051648,37
602611,1998
601667,281
6084578,44
6084608,19
6084615,0
601566,64
6080167,88
6070175,288
6084837,411
600868,1435
