sku,qty
600219,1853
6079680,159
6083724,54
6083700,54
6083823,108
6065744,258
6071295,51
6060534,108
6021108,53
6060541,107
6079772,206
6079765,413
6049195,608
600381,205
6005894,304
6033538,192
600482,1614
6048785,1302
6083458,377
6017118,168
600858,3281
600861,722
600865,1967
6006457,705
6066482,1171
601079,600
601258,176
6067137,601
6043834,898
6067229,693
6067236,986
6052430,941
6043841,1839
6067120,660
6070199,119
6054441,108
6054427,109
6054380,45
6054434,119
6054410,163
6054397,28
6003951,381
6004538,169
6083434,535
6083441,541
601583,372
6075774,409
601702,225
6073077,621
6064259,415
602066,412
602286,2291
602287,1098
6083717,380
6048204,659
6002237,220
6048198,1011
6055530,606
6079437,350
601020,3647
6079444,703
601050,1807
6079420,208
6026110,208
6026127,208
602635,4473
