sku,qty
600219,3247.0
6079680,38.0
6083724,29.833
6083700,43.0
6083823,90.0
6065744,0
6071295,0.0
6060534,77.0
6021108,0.0
6060541,33.0
6079772,178.0
6079765,384.0
6049195,597.0
600381,107.0
6005894,17.666
6033538,130.0
600482,1690.0
6048785,793.583
6083458,361.0
6017118,556.0
600858,3199.166
600861,641.0
600865,2399.0
6006457,548.0
6066482,252.0
601079,0
601258,59.0
6067137,0
6043834,902.0
6067229,342.125
6067236,423.625
6052430,52.58
6043841,540.249
6067120,159.0
6070199,87.0
6054441,15.0
6054427,0
6054380,42.0
6054434,36.0
6054410,1.0
6054397,49.0
6003951,329.0
6004538,127.0
6083434,276.0
6083441,410.0
601583,251.0
6075774,248.0
601702,150.0
6073077,519.0
6064259,408.0
602066,347.0
602286,1759.0
602287,748.0
6083717,332.0
6048204,606.0
6002237,0
6048198,679.0
6055530,376.333
6079437,183.0
601020,1704.999
6079444,168.0
601050,1009.0
6079420,208.0
6026110,370.0
6026127,155.0
602635,0
601023,113.583
600222,2179.5
6031220,0
6059972,95.0
600519,0
6081287,168.0
6081270,161.0
6081263,153.0
6081256,170.0
6081294,170.0
6000981,162.0
6002251,111.0
6002268,6.0
6082499,259.0
6084097,127.0
6083694,221.0
6084042,106.0
6002664,393.0
6002497,115.0
6002220,0
6083830,48.0
6003425,0.0
6002343,219.0
6004248,542.0
6015534,177.0
6005689,0
6001827,0
6001828,0.0
6016890,51.0
6083335,135.0
6084080,183.0
6075026,116.0
6075484,0
6084301,0.0
6084295,0.0
6045715,0.0
6037574,3.0
6084233,0.0
6084226,0.0
6084240,0.0
6075460,23.0
6084318,37.0
6084257,32.0
6084325,39.0
6084264,24.0
6084271,24.0
6084288,1.0
6084356,67.0
6084349,36.0
6084363,48.0
6084332,102.0
6082314,108.0
6006327,5.0
6008833,0.0
6002848,31.0
6008741,6.0
600516,8.291
6045784,36.0
6043056,3.0
6025816,240.0
6012373,1.0
6060602,140.0
6030063,4.0
6008758,4.0
601774,0.0
602112,4.0
6065881,10.0
6025038,129.0
6003234,9.0
6027803,1.0
6003739,20.0
6068271,2.0
6071271,48.0
6030018,16.0
6065843,204.0
6025823,48.0
6068257,66.0
6074043,14.0
601645,0.0
6037659,23.0
6072674,36.0
6036959,28.0
602109,6.0
6001261,0.0
6008765,3.0
6071127,45.0
6019396,3.0
6071110,15.0
6008840,2.0
6002701,0
6004750,72.0
6040390,0.0
6083267,18.5
6052522,10.0
6074036,6.0
6040352,10.0
6040376,18.0
6071264,3.0
6071240,8.0
6040406,5.0
6052515,5.0
6040369,3.0
6078157,2.0
6072483,1.0
6072575,12.0
6072537,6.0
6073893,0.0
6072551,7.0
6072490,6.0
6072506,12.0
6072568,54.0
6072599,45.0
6072544,12.0
6072513,24.0
6073886,0.0
6072520,66.0
6072476,12.0
6072582,29.0
6073589,64.0
602700,0.0
601198,7.0
601195,7.0
6069988,51.0
600394,0.0
6056858,21.0
6069971,48.0
6056902,0.0
6052393,180.0
6041946,217.0
602708,0.0
600921,33.0
600968,63.0
600974,129.0
600970,60.0
600975,31.0
600977,45.0
6048525,57.0
602694,4.0
6001018,69.0
602699,11.0
602757,14.0
6069537,52.0
6057855,156.0
602657,62.0
602660,3.0
602664,91.0
600072,106.0
602661,11.0
602659,12.0
6039530,0.0
601669,31.0
6072254,9.0
6000103,104.0
6080174,30.0
6058302,22.0
6029838,26.0
602304,3.0
6022099,0.0
6017125,0
6024291,0.0
6022082,0.0
600012,0.0
600067,0.0
601664,0.0
600647,0.0
601849,4.0
600804,7.0
601051,2.0
6084738,20.0
6012397,360.0
601850,8.0
601007,14.0
601620,36.0
6040345,20.0
6040338,19.0
6084530,6.0
6084554,5.0
6084547,4.0
6052508,29.0
6073541,10.0
602591,0
602724,250.0
602698,73.0
602658,237.0
6054199,3.0
6039660,239.0
6064792,4.0
602782,212.0
6084585,0.0
6051648,30.0
602611,0
601667,0
6084578,5.0
6084608,0.0
6084615,0.0
601566,41.0
6080167,0
6070175,232.0
6084837,359.0
600868,821.0
6002121,49.0
6083366,0.0
6083373,6.0
6039011,15.0
6060473,1.0
6080266,40.0
600334,17.0
6080273,29.0
600253,26.0
602637,2375.0
6048136,119.0
6003418,29.0
6075156,37.0
602077,184.0
602346,32.0
602079,39.0
6070786,0
6061395,0.0
6052843,110.0
6022150,121.0
601276,108.0
6011932,24.0
601202,192.0
6080884,12.0
6080846,0.0
6085148,3.0
6080891,1.0
6080839,0.0
6003319,0
6080457,12.0
6080464,29.0
6080471,22.0
6085025,3.0
6075538,15.0
6022631,23.0
6055813,94.0
6007720,0.0
6011598,189.0
602616,147.0
6060626,3.0
