sku,qty
600219,1617
6079680,127
6083724,38
6083700,86
6083823,95
6065744,192
6071295,24
6060534,99
6021108,20
6060541,85
6079772,203
6079765,403
6049195,607
600381,177
6005894,249
6033538,161
600482,1163
6048785,1220
6083458,374
6017118,165
600858,1586.166
600861,475
600865,1745
6006457,660
6066482,937
601079,398
601258,157
6067137,503
6043834,620
6067229,627.125
6067236,869.625
6052430,757
6043841,1378
6067120,561
6070199,105
6054441,73
6054427,66
6054380,34
6054434,105
6054410,81
6054397,0
6003951,354
6004538,164
6083434,497
6083441,508
601583,314
6075774,409
601702,201
6073077,576
6064259,413
602066,386
602286,2161
602287,1027
6083717,360
6048204,630
6002237,118
6048198,923
6055530,565
6079437,348
601020,3224
6079444,565
601050,1573
6079420,208
6026110,400
6026127,182
602635,2852
601023,454
600222,841
6031220,145
6059972,183
600519,314
6081287,190
6081270,189
6081263,184
6081256,189
6081294,190
6000981,498
6002251,297
6002268,203
6082499,325
6084097,162
6083694,236
6084042,276
6002664,1261
6002497,314
6002220,399
6083830,323
6003425,413
6002343,324
6004248,2764
6015534,277
6005689,1457
6001827,258
6001828,231
6016890,174
6083335,284
6084080,239
6075026,363
6075484,27
6084301,20
6084295,20
6045715,48
6037574,144
6084233,10
6084226,9
6084240,9
6075460,59
6084318,56
6084257,40
6084325,60
6084264,60
6084271,40
6084288,54
6084356,120
6084349,60
6084363,60
6084332,120
6082314,640
6006327,124
6008833,30
6002848,129
6008741,9
600516,24
6045784,192
6043056,10
6025816,660
6012373,8
6060602,200
6030063,9
6008758,9
601774,15
602112,17
6065881,10
6025038,300
6003234,54
6027803,19
6003739,20
6068271,18
6071271,288
6030018,19
6065843,228
6025823,288
6068257,216
6074043,19
601645,23
6037659,47
6072674,84
6036959,342
602109,35
6001261,6
6008765,3
6071127,275
6019396,7
6071110,282
6008840,7
6002701,27
6004750,120
6040390,0
6083267,23.5
6052522,10
6074036,9
6040352,9
6040376,19
6071264,7
6071240,9
6040406,9
6052515,8
6040369,6
6078157,5
6072483,42
6072575,60
6072537,36
6073893,3
6072551,36
6072490,30
6072506,66
6072568,120
6072599,120
6072544,66
6072513,42
6073886,3
6072520,108
6072476,42
6072582,90
6073589,415
602700,107
601198,153
601195,156
6069988,155
600394,195
6056858,218
6069971,405
6056902,612
6052393,286
6041946,287
602708,819
600921,197
600968,414
600974,421
600970,209
600975,414
600977,821
6048525,120
602694,115
6001018,120
602699,116
602757,98
6069537,388
6057855,348
602657,348
602660,336
602664,176
600072,172
602661,49
602659,49
6039530,26
601669,88
6072254,59
6000103,291
6080174,60
6058302,56
6029838,30
602304,42
6022099,47
6017125,93
6024291,58
6022082,46
600012,48
600067,55
601664,53
600647,100
601849,20
600804,50
601051,50
6084738,240
6012397,900
601850,40
601007,50
601620,120
6040345,30
6040338,30
6084530,10
6084554,10
6084547,10
6052508,30
6073541,40
602591,432
602724,216
602698,72
602658,300
6054199,50
6039660,360
6064792,30
602782,216
6084585,60
6051648,30
602611,2400
601667,360
6084578,60
6084608,40
6084615,160
601566,90
6080167,120
6070175,160
