Code	Count
600219	3139.0
6079680	134.0
6083724	27.833
6083700	36.0
6083823	143.0
6065744	40.0
6071295	0.0
6060534	74.0
6021108	0.0
6060541	28.0
6079772	178.0
6079765	383.0
6049195	597.0
600381	100.0
6005894	0.666
6033538	130.0
600482	1397.0
6048785	750.583
6083458	361.0
6017118	554.0
600858	2751.166
600861	467.0
600865	2275.0
6006457	676.0
6066482	139.0
601079	0
601258	53.0
6067137	1.0
6043834	651.0
6067229	293.125
6067236	340.875
6052430	0
6043841	540.249
6067120	159.0
6070199	83.0
6054441	3.0
6054427	51.0
6054380	42.0
6054434	36.0
6054410	7.0
6054397	49.0
6003951	329.0
6004538	123.0
6083434	276.0
6083441	357.0
601583	211.0
6075774	216.0
601702	144.0
6073077	517.0
6064259	408.0
602066	341.0
602286	1681.0
602287	698.0
6083717	330.0
6048204	601.0
6002237	0.0
6048198	656.0
6055530	360.333
6079437	86.0
601020	1494.999
6079444	66.0
601050	848.0
6079420	208.0
6026110	358.0
6026127	149.0
602635	0
601023	0
600222	1947.5
6031220	0.0
6059972	90.0
600519	176.0
6081287	167.0
6081270	156.0
6081263	151.0
6081256	167.0
6081294	166.0
6000981	162.0
6002251	74.0
6002268	6.0
6082499	259.0
6084097	91.0
6083694	220.0
6084042	104.0
6002664	393.0
6002497	29.0
6002220	0
6083830	48.0
6003425	0.0
6002343	200.0
6004248	0.0
6015534	177.0
6005689	0.0
6001827	0
6001828	0
6016890	37.0
6083335	133.0
6084080	183.0
6075026	116.0
6075484	0
6084301	0.0
6084295	0.0
6045715	0.0
6037574	3.0
6084233	0.0
6084226	0.0
6084240	0.0
6075460	23.0
6084318	37.0
6084257	32.0
6084325	39.0
6084264	24.0
6084271	24.0
6084288	1.0
6084356	67.0
6084349	36.0
6084363	48.0
6084332	101.0
6082314	108.0
6006327	5.0
6008833	0.0
6002848	31.0
6008741	6.0
600516	0
6045784	36.0
6043056	3.0
6025816	108.0
6012373	1.0
6060602	60.0
6030063	1.0
6008758	4.0
601774	0.0
602112	4.0
6065881	10.0
6025038	117.0
6003234	4.0
6027803	1.0
6003739	20.0
6068271	2.0
6071271	12.0
6030018	16.0
6065843	192.0
6025823	48.0
6068257	0
6074043	14.0
601645	0.0
6037659	14.0
6072674	0
6036959	28.0
602109	6.0
6001261	0.0
6008765	3.0
6071127	45.0
6019396	3.0
6071110	15.0
6008840	0.0
6002701	0.0
6004750	72.0
6040390	0.0
6083267	18.5
6052522	10.0
6074036	6.0
6040352	10.0
6040376	18.0
6071264	3.0
6071240	8.0
6040406	5.0
6052515	5.0
6040369	3.0
6078157	2.0
6072483	1.0
6072575	12.0
6072537	6.0
6073893	0.0
6072551	7.0
6072490	6.0
6072506	12.0
6072568	54.0
6072599	33.0
6072544	6.0
6072513	24.0
6073886	0.0
6072520	60.0
6072476	6.0
6072582	22.0
6073589	5.0
602700	0.0
601198	0.0
601195	0.0
6069988	13.0
600394	0.0
6056858	0.0
6069971	4.0
6056902	0.0
6052393	121.0
6041946	154.0
602708	0.0
600921	0.0
600968	8.0
600974	70.0
600970	24.0
600975	1.0
600977	0.0
6048525	41.0
602694	0.0
6001018	51.0
602699	3.0
602757	0.0
6069537	0.0
6057855	120.0
602657	0
602660	0
602664	71.0
600072	87.0
602661	3.0
602659	37.0
6039530	0.0
601669	0
6072254	0
6000103	51.0
6080174	19.0
6058302	13.0
6029838	20.0
602304	3.0
6022099	0.0
6017125	0.0
6024291	0.0
6022082	0.0
600012	0.0
600067	0.0
601664	0.0
600647	0.0
601849	4.0
600804	7.0
601051	0
6084738	20.0
6012397	52.0
601850	8.0
601007	0
601620	36.0
6040345	20.0
6040338	19.0
6084530	6.0
6084554	5.0
6084547	4.0
6052508	29.0
6073541	0.0
602591	0
602724	234.0
602698	0.0
602658	257.0
6054199	3.0
6039660	206.0
6064792	4.0
602782	212.0
6084585	0.0
6051648	30.0
602611	0
601667	0.0
6084578	1.0
6084608	0.0
6084615	0.0
601566	36.0
6080167	0
6070175	224.0
6084837	359.0
600868	736.0
6002121	43.0
6083366	0.0
6083373	5.0
6039011	12.0
6060473	1.0
6080266	39.0
600334	12.0
6080273	27.0
600253	21.0
602637	1871.0
6048136	63.0
6003418	4.0
6075156	35.0
602077	184.0
602346	28.0
602079	35.0
6070786	0
6061395	0.0
6052843	87.0
6022150	118.0
601276	104.0
6011932	24.0
601202	178.0
6080884	12.0
6080846	0.0
6085148	3.0
6080891	0.0
6080839	0.0
6003319	0.0
6080457	3.0
6080464	0
6080471	20.0
6085025	3.0
6075538	4.0
6022631	8.0
6055813	81.0
6007720	0.0
6011598	184.0
602616	138.0
6060626	3.0
6074746	3.0
6023065	0.0
6085032	0.0
6085049	3.0
6084851	36.0
6053765	0
6069858	12.0
600337	12.0
600336	6.0
600335	3.0
600338	3.0
600168	8.0
6058807	0.0
601292	39.0
601294	156.0
600254	9.0
601275	0
601387	23.0
602786	79.0
602763	149.0
602765	0.0
6013363	13.0
602618	51.0
602620	79.0
6085056	55.0
602192	96.0
602038	31.0
602051	0
6021146	414.0
602041	189.0
602040	87.0
602045	105.0
602047	59.0
602058	96.0
602055	29.0
602044	140.0
602049	220.0
602048	0.0
602061	0.0
602043	17.0
602053	17.0
602042	38.0
602059	0
602052	15.0
6029692	50.0
6051945	0
6051938	0
6075545	0.0
6002176	0
600653	0
6083021	11.0
6083014	0.0
6080907	0
6085087	10.0
6080822	0.0
6033989	24.0
6083199	17.5
6070779	4.0
6083175	13.0
6085223	44.0
6009243	24.0
6085216	18.0
6079949	15.0
6085247	68.0
6085230	25.0
6075033	0.0
6075057	16.0
602278	45.0
6083182	15.917
6045197	47.0
6085063	30.0
6060633	10.0
6076627	2.0
601138	376.0
6048877	18.0
6043636	14.0
6032159	21.0
6055837	33.084
6064921	7.0
6064945	4.0
601111	17.0
601109	11.0
601110	14.0
6024420	0.0
6064808	27.0
602090	0.0
