sku,qty
600219,1821.0
6079680,153.0
6083724,53.0
6083700,54.0
6083823,108.0
6065744,251.0
6071295,50.0
6060534,108.0
6021108,48.0
6060541,100.0
6079772,206.0
6079765,413.0
6049195,607.0
600381,195.0
6005894,295.0
6033538,189.0
600482,1509.0
6048785,1294.0
6083458,377.0
6017118,166.0
600858,2804.0
600861,672.0
600865,1944.0
6006457,699.0
6066482,1119.0
601079,550.0
601258,171.0
6067137,588.0
6043834,855.0
6067229,684.0
6067236,971.0
6052430,912.0
6043841,1781.0
6067120,660.0
6070199,119.0
6054441,107.0
6054427,107.0
6054380,44.0
6054434,118.0
6054410,161.0
6054397,28.0
6003951,380.0
6004538,168.0
6083434,530.0
6083441,537.0
601583,368.0
6075774,409.0
601702,223.0
6073077,617.0
6064259,415.0
602066,408.0
602286,2249.0
602287,1076.0
6083717,380.0
6048204,659.0
6002237,210.0
6048198,1001.0
6055530,601.0
6079437,350.0
601020,3578.0
6079444,684.0
601050,1748.0
6079420,208.0
6026110,205.0
6026127,205.0
602635,4265.0
