sku,qty
600219,1855.749
6079680,159
6083724,54
6083700,54
6083823,108
6065744,260
6071295,52
6060534,108
6021108,54
6060541,108
6079772,207
6079765,413
6049195,192
600381,205
6005894,304
6033538,192
600482,1648
6048785,473
6083458,377
6017118,172
600858,2085
600861,740
600865,1979
6006457,708
6066482,1172
601079,601
601258,178
6067137,609
6043834,903
6067229,697
6067236,991
6052430,948
6043841,1848
6067120,660
6070199,119
6054441,108
6054427,109
6054380,45
6054434,119
6054410,164
6054397,28
6003951,381
6004538,169
6083434,535
6083441,541
601583,372
6075774,409
601702,227
6073077,621
6064259,415
602066,412
602286,2291
602287,1098
6083717,380
6048204,659
6002237,223
6048198,1012
6055530,606
6079437,350
601020,1586
6079444,704
601050,776
6079420,208
6026110,208
6026127,208
602635,318
