sku,qty
600219,1588
6079680,123
6083724,35
6083700,78
6083823,94
6065744,168
6071295,22
6060534,99
6021108,21.999
6060541,85
6079772,203
6079765,403
6049195,607
600381,161
6005894,249
6033538,158
600482,1079
6048785,1188
6083458,374
6017118,165
600858,1419.166
600861,444
600865,1624
6006457,655
6066482,881
601079,364
601258,157
6067137,478
6043834,559
6067229,607.125
6067236,854.625
6052430,719
6043841,1303
6067120,517
6070199,105
6054441,66
6054427,48
6054380,29
6054434,99
6054410,71
6054397,0
6003951,353
6004538,164
6083434,495
6083441,505
601583,314
6075774,406
601702,198
6073077,572
6064259,413
602066,386
602286,2139
602287,1012
6083717,359
6048204,630
6002237,110
6048198,915
6055530,562
6079437,348
601020,3141
6079444,501
601050,1531
6079420,208
6026110,398
6026127,181
602635,2635
601023,404
600222,790
6031220,97
6059972,180
600519,297
6081287,189
6081270,188
6081263,183
6081256,188
6081294,190
6000981,476
6002251,289
6002268,194
6082499,323
6084097,162
6083694,236
6084042,271
6002664,1099
6002497,314
6002220,396
6083830,317
6003425,413
6002343,322
6004248,2637
6015534,277
6005689,1441
6001827,257
6001828,215
6016890,174
6083335,284
6084080,239
6075026,334
6075484,22
6084301,17
6084295,7
6045715,41
6037574,114
6084233,7
6084226,6
6084240,5
6075460,57
6084318,52
6084257,36
6084325,52
6084264,56
6084271,36
6084288,50
6084356,120
6084349,60
6084363,60
6084332,120
6082314,512
6006327,103
6008833,28
6002848,116
6008741,9
600516,22
6045784,192
6043056,8
6025816,660
6012373,6
6060602,200
6030063,8
6008758,9
601774,13
602112,17
6065881,10
6025038,288
6003234,49
6027803,18
6003739,20
6068271,17
6071271,288
6030018,19
6065843,228
6025823,276
6068257,216
6074043,19
601645,22
6037659,47
6072674,84
6036959,309
602109,31
6001261,3
6008765,3
6071127,250
6019396,3
6071110,236
6008840,6
6002701,27
6004750,120
6040390,0
6083267,19.5
6052522,10
6074036,9
6040352,9
6040376,19
6071264,4
6071240,9
6040406,7
6052515,6
6040369,4
6078157,4
6072483,24
6072575,48
6072537,18
6073893,0
6072551,24
6072490,24
6072506,54
6072568,102
6072599,102
6072544,60
6072513,36
6073886,0
6072520,102
6072476,42
6072582,72
6073589,404
602700,99
601198,145
601195,138
6069988,146
600394,159
6056858,180
6069971,378
6056902,552
6052393,278
6041946,279
602708,755
600921,176
600968,378
600974,400
600970,201
600975,397
600977,762
6048525,113
602694,110
6001018,119
602699,106
602757,62
6069537,352
6057855,288
602657,336
602660,324
602664,167
600072,170
602661,47
602659,48
6039530,21
601669,87
6072254,57
6000103,285
6080174,59
6058302,55
6029838,30
602304,31
6022099,44
6017125,75
6024291,52
6022082,42
600012,41
600067,50
601664,52
600647,81
601849,16
600804,48
601051,48
6084738,20
6012397,885
601850,34
601007,49
601620,108
6040345,27
6040338,28
6084530,6
6084554,10
6084547,8
6052508,29
6073541,39
602591,403
602724,428
602698,141
602658,297
6054199,35
6039660,345
6064792,13
602782,427
6084585,50
6051648,60
602611,2262
601667,349
6084578,58
6084608,38
6084615,24
601566,90
6080167,114
6070175,304
