sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,brands,cin7_import,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
6065065,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"JJ FIRSTAID NON STICK PADS",No,,,0,/6/0/6065065_1.jpg,,No,,,,,,,,"Use config","Use config","JJ FIRSTAID NON STICK PADS",,,"Block after Info Column",,1.6400,0,"JJ FIRSTAID NON STICK PADS",/6/0/6065065_1.jpg,,,,,1,2,/6/0/6065065_1.jpg,,"2017-12-07 04:36:35",jj-firstaid-non-stick-pads,jj-firstaid-non-stick-pads.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6065065.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/6/0/6065065_1.jpg,,0,0
6065058,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"JJ FIRSTAID MULTI PURPOS GAUZE",No,,,0,/6/0/6065058_1.jpg,,No,,,,,,,,"Use config","Use config","JJ FIRSTAID MULTI PURPOS GAUZE",,,"Block after Info Column",,1.6400,0,"JJ FIRSTAID MULTI PURPOS GAUZE",/6/0/6065058_1.jpg,,,,,1,2,/6/0/6065058_1.jpg,,"2017-12-07 04:36:35",jj-firstaid-multi-purpos-gauze,jj-firstaid-multi-purpos-gauze.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6065058.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/6/0/6065058_1.jpg,,0,0
6065041,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"JJ FIRSTAID ROLLED GAUZE",No,,,0,/6/0/6065041.jpg,,No,,,,,,,,"Use config","Use config","JJ FIRSTAID ROLLED GAUZE",,,"Block after Info Column",,1.3600,0,"JJ FIRSTAID ROLLED GAUZE",/6/0/6065041.jpg,,,,,1,2,/6/0/6065041.jpg,,"2017-12-07 04:36:35",jj-firstaid-rolled-gauze,jj-firstaid-rolled-gauze.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6065041.png,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,/6/0/6065041.jpg,,0,0
6064303,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"MORTEIN 320G FLY MOSI SPRAY",,,,0,/6/0/6064303.jpg,,,,,,,,,,"Use config","Use config","MORTEIN 320G FLY MOSI SPRAY",,,"Block after Info Column",,4.0900,0,"MORTEIN 320G FLY MOSI SPRAY",/6/0/6064303.jpg,,,,,1,2,/6/0/6064303.jpg,,"2017-12-07 04:36:47",mortein-320g-fly-mosi-spray,mortein-320g-fly-mosi-spray.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6064303.jpg,,0,0
6062866,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"FINISH RINSE AID 500ML*3",,,,0,/6/0/6062866.jpg,,,,,,,,,,"Use config","Use config","FINISH RINSE AID 500ML*3",,,"Block after Info Column",,3.1800,0,"FINISH RINSE AID 500ML*3",/6/0/6062866.jpg,,,,,1,2,/6/0/6062866.jpg,,"2017-12-07 04:36:47",finish-rinse-aid-500ml-3,finish-rinse-aid-500ml-3.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6062866.jpg,,0,0
6061807,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"AMBI PUR 300ML BLUE OCEAN",,,,0,/6/0/6061807.jpg,,,,,,,,,,"Use config","Use config","AMBI PUR 300ML BLUE OCEAN",,,"Block after Info Column",,1.6400,0,"AMBI PUR 300ML BLUE OCEAN",/6/0/6061807.jpg,,,,,1,2,/6/0/6061807.jpg,,"2017-12-07 04:36:47",ambi-pur-300ml-blue-ocean,ambi-pur-300ml-blue-ocean.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6061807.jpg,,0,0
6061784,,Default,simple,"General Merchandise/Household Items","Default Category",base,,,,,,"2017-11-21 02:40:55",,,,,"AMBI PUR 300ML FRESH FLORAL",,,,0,/6/0/6061784.jpg,,,,,,,,,,"Use config","Use config","AMBI PUR 300ML FRESH FLORAL",,,"Block after Info Column",,1.6400,0,"AMBI PUR 300ML FRESH FLORAL",/6/0/6061784.jpg,,,,,1,2,/6/0/6061784.jpg,,"2017-12-07 04:36:46",ambi-pur-300ml-fresh-floral,ambi-pur-300ml-fresh-floral.html,4,0.3000,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,0,1,0.0000,1,0,0,,,,,,,,,,,,,,,,,80,/6/0/6061784.jpg,,0,0
