1,jollyrancher,0,0,NULL,jolly rancher,1,1,1,0
2,jol,0,0,NULL,jols,1,1,1,0
3,juicyfruit,0,0,NULL,juicy fruit,1,1,1,0
4,justiceleague,0,0,NULL,justice league,1,1,1,0
5,ky,0,0,NULL,k-y,1,1,1,0
6,k y,0,0,NULL,k-y,1,1,1,0
7,kelloggs,0,0,NULL,kellogg's,1,1,1,0
8,kellogg,0,0,NULL,kellogg's,1,1,1,0
9,kelly,0,0,NULL,kellys,1,1,1,0
10,kitkat,0,0,NULL,kit kat,1,1,1,0
11,koko,0,0,NULL,koko's,1,1,1,0
12,kokos,0,0,NULL,koko's,1,1,1,0
13,l and p,0,0,NULL,l & p,1,1,1,0
14,lp,0,0,NULL,l & p,1,1,1,0
15,l n p,0,0,NULL,l & p,1,1,1,0
16,l&p,0,0,NULL,l & p,1,1,1,0
17,loreal,0,0,NULL,l'oreal,1,1,1,0
18,laffytaffy,0,0,NULL,laffy taffy,1,1,1,0
19,lays,0,0,NULL,lay's,1,1,1,0
20,lay,0,0,NULL,lay's,1,1,1,0
21,leroy,0,0,NULL,leroy's,1,1,1,0
22,leroys,0,0,NULL,leroy's,1,1,1,0
23,lil tracks sour,0,0,NULL,li'l tracks sour,1,1,1,0
24,li'ltrackssour,0,0,NULL,li'l tracks sour,1,1,1,0
25,liltrackssour,0,0,NULL,li'l tracks sour,1,1,1,0
26,lil' tracks sour,0,0,NULL,li'l tracks sour,1,1,1,0
27,lil'trackssour,0,0,NULL,li'l tracks sour,1,1,1,0
28,libbys,0,0,NULL,libby's,1,1,1,0
29,libby,0,0,NULL,libby's,1,1,1,0
30,life saver,0,0,NULL,life savers,1,1,1,0
31,lifesavers,0,0,NULL,life savers,1,1,1,0
32,lifesaver,0,0,NULL,life savers,1,1,1,0
33,lilyo'brian,0,0,NULL,lily o'brian,1,1,1,0
34,lily obrian,0,0,NULL,lily o'brian,1,1,1,0
35,lilyobrian,0,0,NULL,lily o'brian,1,1,1,0
36,lollymania,0,0,NULL,lolly mania,1,1,1,0
37,lotu,0,0,NULL,lotus,1,1,1,0
38,luca,0,0,NULL,lucas,1,1,1,0
39,lyle,0,0,NULL,lyle's,1,1,1,0
40,lyles,0,0,NULL,lyle's,1,1,1,0
41,m & m's,0,0,NULL,m&m's,1,1,1,0
42,m&m,0,0,NULL,m&m's,1,1,1,0
43,m&ms,0,0,NULL,m&m's,1,1,1,0
44,mm,0,0,NULL,m&m's,1,1,1,0
45,m n m's,0,0,NULL,m&m's,1,1,1,0
46,m & m,0,0,NULL,m&m's,1,1,1,0
47,mm's,0,0,NULL,m&m's,1,1,1,0
48,m n ms,0,0,NULL,m&m's,1,1,1,0
49,mms,0,0,NULL,m&m's,1,1,1,0
50,m and m,0,0,NULL,m&m's,1,1,1,0
51,m & ms,0,0,NULL,m&m's,1,1,1,0
52,m and m's,0,0,NULL,m&m's,1,1,1,0
53,m and ms,0,0,NULL,m&m's,1,1,1,0
54,m n m,0,0,NULL,m&m's,1,1,1,0
55,maclean,0,0,NULL,macleans,1,1,1,0
56,malteser,0,0,NULL,maltesers,1,1,1,0
57,manchesterunited,0,0,NULL,manchester united,1,1,1,0
58,mandymartin,0,0,NULL,mandy martin,1,1,1,0
59,mar,0,0,NULL,mars,1,1,1,0
60,marshmallowfluff,0,0,NULL,marshmallow fluff,1,1,1,0
61,maynard,0,0,NULL,maynards,1,1,1,0
62,mcvitie,0,0,NULL,mcvitie's,1,1,1,0
63,mcvities,0,0,NULL,mcvitie's,1,1,1,0
64,medichoice,0,0,NULL,medi choice,1,1,1,0
65,megamonsetermunch,0,0,NULL,mega monseter munch,1,1,1,0
66,melloyello,0,0,NULL,mello yello,1,1,1,0
67,mento,0,0,NULL,mentos,1,1,1,0
68,mike&ike,0,0,NULL,mike & ike,1,1,1,0
69,mike n ike,0,0,NULL,mike & ike,1,1,1,0
70,mike and ike,0,0,NULL,mike & ike,1,1,1,0
71,mikeike,0,0,NULL,mike & ike,1,1,1,0
72,milk dud,0,0,NULL,milk duds,1,1,1,0
73,milkduds,0,0,NULL,milk duds,1,1,1,0
74,milkdud,0,0,NULL,milk duds,1,1,1,0
75,milkybar,0,0,NULL,milky bar,1,1,1,0
76,milkyway,0,0,NULL,milky way,1,1,1,0
77,milliondollarbar,0,0,NULL,million dollar bar,1,1,1,0
78,minion,0,0,NULL,minions,1,1,1,0
79,morningfresh,0,0,NULL,morning fresh,1,1,1,0
80,mountaindew,0,0,NULL,mountain dew,1,1,1,0
81,mrbasil,0,0,NULL,mr basil,1,1,1,0
82,mrgoodbar,0,0,NULL,mr goodbar,1,1,1,0
83,mrmuscle,0,0,NULL,mr muscle,1,1,1,0
84,mrstanley's,0,0,NULL,mr stanley's,1,1,1,0
85,mrstanley,0,0,NULL,mr stanley's,1,1,1,0
86,mr stanley,0,0,NULL,mr stanley's,1,1,1,0
87,mr stanleys,0,0,NULL,mr stanley's,1,1,1,0
88,mrstanleys,0,0,NULL,mr stanley's,1,1,1,0
89,mrs freshleys,0,0,NULL,mrs freshley's,1,1,1,0
90,mrsfreshleys,0,0,NULL,mrs freshley's,1,1,1,0
91,mrs freshley,0,0,NULL,mrs freshley's,1,1,1,0
92,mrsfreshley,0,0,NULL,mrs freshley's,1,1,1,0
93,mrsfreshley's,0,0,NULL,mrs freshley's,1,1,1,0
94,naturesorganic,0,0,NULL,nature's organic,1,1,1,0
95,nature'sorganic,0,0,NULL,nature's organic,1,1,1,0
96,natures organic,0,0,NULL,nature's organic,1,1,1,0
97,nature organic,0,0,NULL,nature's organic,1,1,1,0
98,natureorganic,0,0,NULL,nature's organic,1,1,1,0
99,nerd,0,0,NULL,nerds,1,1,1,0
100,ninjaturtles,0,0,NULL,ninja turtles,1,1,1,0
101,ninjaturtle,0,0,NULL,ninja turtles,1,1,1,0
102,ninja turtle,0,0,NULL,ninja turtles,1,1,1,0
103,now and later,0,0,NULL,now & later,1,1,1,0
104,nowlater,0,0,NULL,now & later,1,1,1,0
105,now&later,0,0,NULL,now & later,1,1,1,0
106,now n later,0,0,NULL,now & later,1,1,1,0
107,nulahoop,0,0,NULL,nula hoops,1,1,1,0
108,nula hoop,0,0,NULL,nula hoops,1,1,1,0
109,nulahoops,0,0,NULL,nula hoops,1,1,1,0
110,officecentral,0,0,NULL,office central,1,1,1,0
111,oldjamaica,0,0,NULL,old jamaica,1,1,1,0
112,oracleorganic,0,0,NULL,oracle organic,1,1,1,0
113,oralb,0,0,NULL,oral-b,1,1,1,0
114,oral b,0,0,NULL,oral-b,1,1,1,0
115,original spring,0,0,NULL,original springs,1,1,1,0
116,originalspring,0,0,NULL,original springs,1,1,1,0
117,originalsprings,0,0,NULL,original springs,1,1,1,0
118,ovalteenie,0,0,NULL,ovalteenies,1,1,1,0
119,pacman,0,0,NULL,pac-man,1,1,1,0
120,pac man,0,0,NULL,pac-man,1,1,1,0
121,pain100,0,0,NULL,pain 100%,1,1,1,0
122,pain100%,0,0,NULL,pain 100%,1,1,1,0
123,pain 100,0,0,NULL,pain 100%,1,1,1,0
124,painisgood,0,0,NULL,pain is good,1,1,1,0
125,partydelight,0,0,NULL,party delights,1,1,1,0
126,partydelights,0,0,NULL,party delights,1,1,1,0
127,party delight,0,0,NULL,party delights,1,1,1,0
128,pawpatrol,0,0,NULL,paw patrol,1,1,1,0
129,pg tip,0,0,NULL,pg tips,1,1,1,0
130,pgtips,0,0,NULL,pg tips,1,1,1,0
131,pgtip,0,0,NULL,pg tips,1,1,1,0
132,pinpop,0,0,NULL,pin pop,1,1,1,0
133,pineocleen,0,0,NULL,pine o cleen,1,1,1,0
134,pod,0,0,NULL,pods,1,1,1,0
135,poprock,0,0,NULL,pop rocks,1,1,1,0
136,poprocks,0,0,NULL,pop rocks,1,1,1,0
137,pop rock,0,0,NULL,pop rocks,1,1,1,0
138,poppie,0,0,NULL,poppies,1,1,1,0
139,postit,0,0,NULL,post-it,1,1,1,0
140,post it,0,0,NULL,post-it,1,1,1,0
141,potnoodle,0,0,NULL,pot noodle,1,1,1,0
142,princes,0,0,NULL,princess,1,1,1,0
143,pringle,0,0,NULL,pringles,1,1,1,0
144,pronamel,0,0,NULL,pro namel,1,1,1,0
145,purapapa,0,0,NULL,pura papa,1,1,1,0
146,quaver,0,0,NULL,quavers,1,1,1,0
147,raisinet,0,0,NULL,raisinets,1,1,1,0
148,razzle,0,0,NULL,razzles,1,1,1,0
149,redbull,0,0,NULL,red bull,1,1,1,0
150,redrockdeli,0,0,NULL,red rock deli,1,1,1,0
151,redvine,0,0,NULL,redvines,1,1,1,0
152,reeds,0,0,NULL,reed's,1,1,1,0
153,reed,0,0,NULL,reed's,1,1,1,0
154,reese,0,0,NULL,reese's,1,1,1,0
155,reeses,0,0,NULL,reese's,1,1,1,0
156,refresher,0,0,NULL,refreshers,1,1,1,0
157,revel,0,0,NULL,revels,1,1,1,0
158,ringpop,0,0,NULL,ring pop,1,1,1,0
159,rittersport,0,0,NULL,ritter sport,1,1,1,0
160,rockymountain,0,0,NULL,rocky mountain,1,1,1,0
161,rollabelta,0,0,NULL,rolla belta,1,1,1,0
162,rountree,0,0,NULL,rountrees,1,1,1,0
163,rudedude,0,0,NULL,rude dudes,1,1,1,0
164,rudedudes,0,0,NULL,rude dudes,1,1,1,0
165,rude dude,0,0,NULL,rude dudes,1,1,1,0
166,sather,0,0,NULL,sathers,1,1,1,0
167,scoobydoo,0,0,NULL,scooby doo,1,1,1,0
168,scotchbrite,0,0,NULL,scotch brite,1,1,1,0
169,shopkin,0,0,NULL,shopkins,1,1,1,0
170,simpkin,0,0,NULL,simpkins,1,1,1,0
171,simpson,0,0,NULL,simpsons,1,1,1,0
172,sixlet,0,0,NULL,sixlets,1,1,1,0
173,skip,0,0,NULL,skips,1,1,1,0
174,skittle,0,0,NULL,skittles,1,1,1,0
175,slimfruits,0,0,NULL,slim fruits,1,1,1,0
176,slim fruit,0,0,NULL,slim fruits,1,1,1,0
177,slimfruit,0,0,NULL,slim fruits,1,1,1,0
178,slushpuppie,0,0,NULL,slush puppie,1,1,1,0
179,smartie,0,0,NULL,smarties,1,1,1,0
180,smiths,0,0,NULL,smith's,1,1,1,0
181,smith,0,0,NULL,smith's,1,1,1,0
182,smuckers,0,0,NULL,smucker's,1,1,1,0
183,smucker,0,0,NULL,smucker's,1,1,1,0
184,snicker,0,0,NULL,snickers,1,1,1,0
185,soother,0,0,NULL,soothers,1,1,1,0
186,sourpatch,0,0,NULL,sour patch,1,1,1,0
187,sourpunch,0,0,NULL,sour punch,1,1,1,0
188,spongebob,0,0,NULL,sponge bob,1,1,1,0
189,starwars,0,0,NULL,star wars,1,1,1,0
190,star war,0,0,NULL,star wars,1,1,1,0
191,starwar,0,0,NULL,star wars,1,1,1,0
192,starbuck,0,0,NULL,starbucks,1,1,1,0
193,stewart,0,0,NULL,stewart's,1,1,1,0
194,stewarts,0,0,NULL,stewart's,1,1,1,0
195,strepsil,0,0,NULL,strepsils,1,1,1,0
196,sugarbabie,0,0,NULL,sugar babies,1,1,1,0
197,sugar babie,0,0,NULL,sugar babies,1,1,1,0
198,sugarbabies,0,0,NULL,sugar babies,1,1,1,0
199,sugardaddy,0,0,NULL,sugar daddy,1,1,1,0
200,sugar free vine,0,0,NULL,sugar free vines,1,1,1,0
201,sugarfreevines,0,0,NULL,sugar free vines,1,1,1,0
202,sugarfreevine,0,0,NULL,sugar free vines,1,1,1,0
203,swedishfish,0,0,NULL,swedish fish,1,1,1,0
204,sweet and sour,0,0,NULL,sweet & sour,1,1,1,0
205,sweet&sour,0,0,NULL,sweet & sour,1,1,1,0
206,sweet n sour,0,0,NULL,sweet & sour,1,1,1,0
207,sweetsour,0,0,NULL,sweet & sour,1,1,1,0
208,sweetart,0,0,NULL,sweetarts,1,1,1,0
209,sweetheart,0,0,NULL,sweethearts,1,1,1,0
210,sweetman,0,0,NULL,sweetmans,1,1,1,0
211,swirl pop,0,0,NULL,swirl pops,1,1,1,0
212,swirlpop,0,0,NULL,swirl pops,1,1,1,0
213,swirlpops,0,0,NULL,swirl pops,1,1,1,0
214,swizzel,0,0,NULL,swizzel's,1,1,1,0
215,swizzels,0,0,NULL,swizzel's,1,1,1,0
216,tahitiantreat,0,0,NULL,tahitian treat,1,1,1,0
217,takefive,0,0,NULL,take 5,1,1,1,0
218,take five,0,0,NULL,take 5,1,1,1,0
219,take5,0,0,NULL,take 5,1,1,1,0
220,tavener,0,0,NULL,taveners,1,1,1,0
221,tealight,0,0,NULL,tealights,1,1,1,0
222,terry,0,0,NULL,terrys,1,1,1,0
223,thejuiceguys,0,0,NULL,the juice guys,1,1,1,0
224,the juice guy,0,0,NULL,the juice guys,1,1,1,0
225,thejuiceguy,0,0,NULL,the juice guys,1,1,1,0
226,thin,0,0,NULL,thins,1,1,1,0
227,thornton,0,0,NULL,thorntons,1,1,1,0
228,tictac,0,0,NULL,tic tac,1,1,1,0
229,tilley,0,0,NULL,tilley's,1,1,1,0
230,tilleys,0,0,NULL,tilley's,1,1,1,0
231,tootarts,0,0,NULL,too tarts,1,1,1,0
232,too tart,0,0,NULL,too tarts,1,1,1,0
233,tootart,0,0,NULL,too tarts,1,1,1,0
234,topp,0,0,NULL,topps,1,1,1,0
235,toxicwaste,0,0,NULL,toxic waste,1,1,1,0
236,transformer,0,0,NULL,transformers,1,1,1,0
237,troll,0,0,NULL,trolls,1,1,1,0
238,twizzler,0,0,NULL,twizzlers,1,1,1,0
239,vampirechew,0,0,NULL,vampire chews,1,1,1,0
240,vampire chew,0,0,NULL,vampire chews,1,1,1,0
241,vampirechews,0,0,NULL,vampire chews,1,1,1,0
242,venu,0,0,NULL,venus,1,1,1,0
243,vick,0,0,NULL,vicks,1,1,1,0
244,virgils,0,0,NULL,virgil's,1,1,1,0
245,virgil,0,0,NULL,virgil's,1,1,1,0
246,vofive,0,0,NULL,vo5,1,1,1,0
247,walker'snonsuch,0,0,NULL,walker's nonsuch,1,1,1,0
248,walkers nonsuch,0,0,NULL,walker's nonsuch,1,1,1,0
